mlb_id,name,group,season,games,fpts,fpg
694819,Jacob Misiorowski,pitching,2025,15.0,142.9,9.53
694819,Jacob Misiorowski,pitching,2026,14.0,332.9,23.78
650911,Cristopher Sanchez,pitching,2021,7.0,12.4,1.77
650911,Cristopher Sanchez,pitching,2022,15.0,44.1,2.94
650911,Cristopher Sanchez,pitching,2023,19.0,209.3,11.02
650911,Cristopher Sanchez,pitching,2024,31.0,356.9,11.51
650911,Cristopher Sanchez,pitching,2025,32.0,524.2,16.38
650911,Cristopher Sanchez,pitching,2026,15.0,296.2,19.75
693645,Cam Schlittler,pitching,2025,14.0,171.9,12.28
693645,Cam Schlittler,pitching,2026,15.0,275.2,18.35
695505,Chase Burns,pitching,2025,13.0,87.8,6.75
695505,Chase Burns,pitching,2026,14.0,237.9,16.99
519242,Chris Sale,pitching,2010,21.0,96.0,4.57
519242,Chris Sale,pitching,2011,58.0,241.0,4.16
519242,Chris Sale,pitching,2012,30.0,456.1,15.2
519242,Chris Sale,pitching,2013,30.0,490.5,16.35
519242,Chris Sale,pitching,2014,26.0,508.1,19.54
519242,Chris Sale,pitching,2015,31.0,516.9,16.67
519242,Chris Sale,pitching,2016,32.0,520.2,16.26
519242,Chris Sale,pitching,2017,32.0,639.2,19.98
519242,Chris Sale,pitching,2018,27.0,534.5,19.8
519242,Chris Sale,pitching,2019,25.0,328.8,13.15
519242,Chris Sale,pitching,2021,9.0,106.2,11.8
519242,Chris Sale,pitching,2022,2.0,11.7,5.85
519242,Chris Sale,pitching,2023,20.0,213.0,10.65
519242,Chris Sale,pitching,2024,29.0,540.1,18.62
519242,Chris Sale,pitching,2025,21.0,344.0,16.38
519242,Chris Sale,pitching,2026,13.0,226.6,17.43
808967,Yoshinobu Yamamoto,pitching,2024,18.0,236.3,13.13
808967,Yoshinobu Yamamoto,pitching,2025,30.0,491.5,16.38
808967,Yoshinobu Yamamoto,pitching,2026,13.0,235.6,18.12
668909,Gavin Williams,pitching,2023,16.0,163.6,10.22
668909,Gavin Williams,pitching,2024,16.0,110.6,6.91
668909,Gavin Williams,pitching,2025,31.0,378.9,12.22
668909,Gavin Williams,pitching,2026,14.0,220.9,15.78
656876,Drew Rasmussen,pitching,2020,12.0,15.0,1.25
656876,Drew Rasmussen,pitching,2021,35.0,184.5,5.27
656876,Drew Rasmussen,pitching,2022,28.0,351.8,12.56
656876,Drew Rasmussen,pitching,2023,8.0,120.8,15.1
656876,Drew Rasmussen,pitching,2024,16.0,82.4,5.15
656876,Drew Rasmussen,pitching,2025,31.0,362.9,11.71
656876,Drew Rasmussen,pitching,2026,13.0,205.6,15.82
694973,Paul Skenes,pitching,2024,23.0,425.0,18.48
694973,Paul Skenes,pitching,2025,32.0,555.2,17.35
694973,Paul Skenes,pitching,2026,15.0,231.2,15.41
677952,Braxton Ashcraft,pitching,2025,26.0,166.8,6.42
677952,Braxton Ashcraft,pitching,2026,14.0,190.9,13.64
800048,Parker Messick,pitching,2025,7.0,90.4,12.91
800048,Parker Messick,pitching,2026,14.0,205.9,14.71
656302,Dylan Cease,pitching,2019,14.0,78.9,5.64
656302,Dylan Cease,pitching,2020,12.0,88.2,7.35
