rank,player_name,team,position,age
1,Shohei Ohtani,LAD,"SP,DH",31
2,Bobby Witt Jr.,KC,SS,26
3,Juan Soto,NYM,"LF,RF,DH",27
4,Corbin Carroll,ARI,"CF,RF",25
5,Elly De La Cruz,CIN,SS,24
6,Julio Rodriguez,SEA,CF,25
7,Ronald Acuna Jr.,ATL,RF,28
8,Junior Caminero,TB,3B,22
9,Paul Skenes,PIT,SP,24
10,Jackson Chourio,MIL,"LF,CF,RF",22
11,Nick Kurtz,ATH,1B,23
12,Fernando Tatis Jr.,SD,"2B,RF",27
13,Tarik Skubal,DET,SP,29
14,Aaron Judge,NYY,"LF,CF,RF,DH",34
15,Gunnar Henderson,BAL,"SS,DH",24
16,Kyle Tucker,LAD,"RF,DH",29
17,Roman Anthony,BOS,"LF,CF,RF,DH",22
18,Jose Ramirez,CLE,"3B,DH",33
19,Vladimir Guerrero Jr.,TOR,"1B,DH",27
20,Garrett Crochet,BOS,SP,27
21,James Wood,WSH,"LF,RF,DH",23
22,Cal Raleigh,SEA,"C,DH",29
23,Pete Crow-Armstrong,CHC,CF,24
24,Wyatt Langford,TEX,"LF,CF",24
25,Konnor Griffin,PIT,"SS,CF",20
26,Ketel Marte,ARI,"2B,DH",32
27,Yordan Alvarez,HOU,"LF,DH",28
28,Francisco Lindor,NYM,SS,32
29,Yoshinobu Yamamoto,LAD,SP,27
30,Hunter Brown,HOU,SP,27
31,Rafael Devers,SF,"1B,DH",29
32,Pete Alonso,BAL,"1B,DH",31
33,CJ Abrams,WSH,SS,25
34,Zach Neto,LAA,SS,25
35,Jackson Merrill,SD,CF,23
36,Jazz Chisholm Jr.,NYY,"2B,3B",28
37,Logan Gilbert,SEA,SP,29
38,Cristopher Sanchez,PHI,SP,29
39,Jackson Holliday,BAL,"2B,SS",22
40,Eury Perez,MIA,SP,23
41,Bryan Woo,SEA,SP,26
42,Riley Greene,DET,"LF,CF,RF,DH",25
43,Kyle Schwarber,PHI,"LF,DH",33
44,Bryce Harper,PHI,1B,33
45,Kevin McGonigle,DET,"3B,SS",21
46,Hunter Greene,CIN,SP,26
47,Trea Turner,PHI,SS,32
48,Jesus Made,MIL,"2B,3B,SS",19
