# generated: 2026-08-09T18:01:11
date,player,type,description,roster_flag
2026-07-26,Curtis Mead,Trade,Boston Red Sox traded LHP Connelly Early to Washington Nationals for 3B Curtis Mead.,kipp
2026-07-26,Brady House,Recalled,Washington Nationals recalled 3B Brady House from Rochester Red Wings.,kipp
2026-07-27,Curtis Mead,Status Change,Boston Red Sox activated 3B Curtis Mead.,kipp
2026-07-29,Vinnie Pasquantino,Status Change,Kansas City Royals placed 1B Vinnie Pasquantino on the 10-day injured list. Right wrist soreness.,kipp
2026-07-29,Dennis Santana,Released,Pittsburgh Pirates released RHP Dennis Santana.,kipp
2026-07-29,Curtis Mead,Status Change,"Boston Red Sox placed 3B Curtis Mead on the 10-day injured list retroactive to July 28, 2026. Left wrist tracture.",kipp
2026-07-29,Ethan Salas,Assigned,C Ethan Salas assigned to El Paso Chihuahuas from San Antonio Missions.,kipp
2026-08-01,Camilo Doval,Trade,New York Yankees traded RHP Camilo Doval and cash to Pittsburgh Pirates for C Omar Alfonzo and OF Luis Cruz.,kipp
2026-08-02,Camilo Doval,Status Change,Pittsburgh Pirates activated RHP Camilo Doval.,kipp
2026-08-02,Kevin Gausman,Status Change,RHP Kevin Gausman roster status changed by Chicago Cubs.,kipp
2026-08-02,Kevin Gausman,Trade,Toronto Blue Jays traded RHP Kevin Gausman to Chicago Cubs for CF Brett Bateman and SS Ty Southisene.,kipp
2026-08-03,Robbie Ray,Status Change,LHP Robbie Ray roster status changed by San Diego Padres.,kipp
2026-08-03,Arjun Nimmala,Assigned,SS Arjun Nimmala assigned to Rocket City Trash Pandas.,kipp
2026-08-03,Robbie Ray,Trade,San Francisco Giants traded LHP Robbie Ray to San Diego Padres for RHP Miguel Mendez and SS Joniel Hernandez.,kipp
2026-08-03,Arjun Nimmala,Trade,"Los Angeles Angels traded RHP José Soriano to Toronto Blue Jays for SS Arjun Nimmala, RF Eddie Micheletti Jr. and RHP Angel Rivero.",kipp
2026-08-04,Arjun Nimmala,Status Change,Rocket City Trash Pandas activated SS Arjun Nimmala.,kipp
2026-08-04,Ryan Clifford,Status Change,Syracuse Mets placed 1B Ryan Clifford on the 7-day injured list.,kipp
2026-08-05,Dennis Santana,Signed as Free Agent,Arizona Diamondbacks signed free agent RHP Dennis Santana to a minor league contract.,kipp
2026-08-05,Dennis Santana,Assigned,RHP Dennis Santana assigned to ACL D-backs.,kipp
2026-08-05,Robbie Ray,Status Change,San Diego Padres activated LHP Robbie Ray.,kipp
2026-08-05,Kevin Gausman,Status Change,Chicago Cubs activated RHP Kevin Gausman.,kipp
2026-08-09,Cooper Pratt,Status Change,Milwaukee Brewers placed SS Cooper Pratt on the 10-day injured list. Right hamstring strain.,kipp
2026-08-09,Ryan Clifford,Status Change,Syracuse Mets activated 1B Ryan Clifford from the 7-day injured list.,kipp
