"ID","Player","Team","Position","RkOv","Status","Age","FPts","FP/G","Ros","+/-","AB","R","H","1B","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","GIDP","GP"
"*02mw3*","Christian Walker","HOU","1B","83","FA","35","257","2.6","98%","0%","365","50","85","45","19","1","20","58","33","94","0","0","8","11","99"
"*026lz*","Josh Bell","MIN","1B","110","FA","33","246.5","2.52","67%","-1%","358","49","91","55","22","1","13","61","29","85","1","0","2","8","98"
"*03atq*","Willy Adames","SF","SS","148","FA","30","224.5","2.36","89%","0%","373","49","85","45","21","1","18","44","26","113","2","2","1","3","95"
"*05y4b*","Caleb Durbin","BOS","3B","152","FA","26","223","2.42","78%","+1%","305","42","72","43","18","1","10","42","22","46","11","4","6","6","92"
"*04nqx*","Ezequiel Duran","TEX","2B,SS,OF","156","FA","27","221.5","2.43","70%","+1%","309","42","82","53","17","2","10","50","26","81","7","1","1","3","91"
"*04y95*","JJ Bleday","CIN","OF","164","FA","28","217","3.06","77%","+1%","255","37","61","33","11","1","16","43","41","60","5","3","2","5","71"
"*065ji*","Jakob Marsee","MIA","OF","174","FA","25","211.5","2.18","78%","-2%","335","48","65","46","11","3","5","25","51","89","19","10","9","2","97"
"*0433b*","Ildemaro Vargas","ARI","1B,2B","179","FA","35","205","2.38","39%","-2%","287","40","74","51","13","3","7","47","16","30","2","0","2","3","86"
"*04nky*","Trevor Larnach","MIN","OF,UT","182","FA","29","203.5","2.45","51%","0%","264","45","76","49","19","1","7","34","35","53","2","2","3","7","83"
"*026qc*","Joc Pederson","TEX","UT","189","FA","34","202","2.22","26%","0%","262","40","64","36","9","2","17","36","36","70","1","0","3","8","91"
"*04eej*","Gavin Sheets","SD","1B,OF","191","FA","30","200","2.13","57%","-3%","291","36","63","34","15","0","14","40","38","72","4","0","4","10","94"
"*05ydz*","Tristan Peters","CHW","OF","194","FA","26","199.5","2.1","37%","+3%","264","38","77","47","21","3","6","37","18","53","5","2","3","0","95"
"*03pdw*","Andrew Benintendi","CHW","OF","207","FA","32","195","2.22","30%","0%","270","40","66","38","16","2","10","50","26","70","1","0","0","4","88"
"*05yaf*","Jacob Young","WSH","OF","221","FA","26","187","2.1","25%","-1%","279","37","65","42","12","2","9","33","17","54","11","3","5","5","89"
"*04efa*","Daulton Varsho","TOR","OF","223","FA","30","185.5","2.13","70%","-3%","293","36","70","44","17","2","7","24","26","63","9","0","2","1","87"
"*05yj1*","Nolan Schanuel","LAA","1B","225","FA","24","184.5","2.28","51%","0%","301","31","85","62","17","0","6","35","29","49","0","1","5","10","81"
"*03qr0*","Cedric Mullins","TB","OF","229","FA","31","183.5","2.13","42%","-5%","291","33","58","41","4","1","12","31","28","69","15","6","5","3","86"
"*03whq*","Ty France","SD","1B","236","FA","32","179","2.42","24%","+10%","222","29","62","34","11","2","15","40","13","56","1","1","8","6","74"
"*0516n*","Isaac Collins","KC","OF","239","FA","28","176.5","1.96","25%","0%","282","35","69","46","17","1","5","32","38","77","5","5","6","4","90"
"*05ub0*","Zack Gelof","ATH","2B,3B,OF","241","W <small>(Thu)</small>","26","175","2.61","77%","-5%","227","41","62","39","11","1","11","29","14","62","8","1","4","5","67"
