"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","FPts","FP/G","Ros","+/-","IP","ERA","K","W","ER","H","BB","SV","HLD","QS","HB","GP"
"*061yu*","Jacob Misiorowski","MIL","SP","1","Jpanner","Active","24","357","23.8","100%","0%","93","1.45","138","8","15","47","23","0","0","10","7","15"
"*052c8*","Cristopher Sanchez","PHI","SP","2","Sethmc44","Active","29","330","20.62","100%","0%","105","1.80","121","9","21","94","20","0","0","12","1","16"
"*05u6q*","Cam Schlittler","NYY","SP","3","JMerkle","Active","25","315","19.69","99%","0%","95","1.71","109","8","18","67","18","0","0","10","2","16"
"*05rb3*","Chase Burns","CIN","SP","15","Coop","Active","23","257","18.36","100%","0%","80.2","2.01","95","8","18","56","26","0","0","8","0","14"
"*05r8n*","Yoshinobu Yamamoto","LAD","SP","23","zyoung51","Active","27","255","18.21","100%","0%","91.2","2.65","86","7","27","63","17","0","0","10","3","14"
"*01uca*","Chris Sale","ATL","SP","19","zyoung51","Active","37","254","18.14","100%","0%","84","2.14","99","8","20","67","21","0","0","9","8","14"
"*02yc4*","Shohei Ohtani","LAD","UT,SP","13","Greenbet","Active","31","250","3.42","100%","0%","73.2","1.47","78","7","12","43","22","0","0","10","6","73"
"*05wru*","Paul Skenes","PIT","SP","34","GoldTY","Active","24","247","15.44","100%","0%","88","2.86","107","6","28","64","18","0","0","8","6","16"
"*051bm*","Louis Varland","TOR","RP","32","GoldTY","Active","28","234","6.32","88%","0%","42","0.86","57","3","4","28","11","15","5","0","0","37"
"*04eee*","Drew Rasmussen","TB","SP","35","Hutch","Active","30","232","16.57","99%","0%","80","2.59","84","6","23","56","13","0","0","8","2","14"
"*04ps7*","Joe Ryan","MIN","SP","40","Hutch","Active","30","229","14.31","99%","0%","87.1","2.99","99","5","29","69","18","0","0","9","5","16"
"*05a2d*","Max Meyer","MIA","SP","44","Kipp","Active","27","225","14.06","94%","0%","90","2.80","102","8","28","70","34","0","0","5","6","16"
"*05ucd*","Mason Miller","SD","RP","47","kyfaess","Reserve","27","224","7.47","99%","0%","31","0.87","61","1","3","13","12","20","0","0","0","30"
"*05tzn*","Parker Messick","CLE","SP","53","Hutch","Active","25","220","14.67","97%","0%","86.2","2.70","91","7","26","67","28","0","0","5","1","15"
"*04pmq*","Braxton Ashcraft","PIT","SP,RP","55","zyoung51","Active","26","218","14.53","97%","0%","90.2","3.18","97","6","32","78","22","0","0","9","6","15"
"*04eor*","Cade Smith","CLE","RP","56","CLANK","Active","27","218","6.81","99%","0%","34","2.38","51","2","9","28","8","24","0","0","0","32"
"*05js3*","Kyle Harrison","MIL","SP","62","joeybats","Active","24","213","15.21","92%","0%","72","2.50","87","8","20","58","18","0","0","6","4","14"
"*04c0o*","Jose Soriano","LAA","SP","65","CLANK","Active","27","211","13.19","98%","0%","92","3.03","98","8","31","71","46","0","0","6","3","16"
"*05jp7*","Gavin Williams","CLE","SP","68","KRetiree","Active","26","209","13.93","99%","0%","91.2","3.83","103","9","39","74","30","0","0","6","2","15"
"*02hjp*","Jacob deGrom","TEX","SP","75","kyfaess","Active","38","204","13.6","100%","0%","82.2","3.59","98","6","33","67","18","0","0","6","0","15"
"*03df2*","Dylan Cease","TOR","SP","77","Sasso","Active","30","204","15.69","100%","0%","73","2.71","110","4","22","56","31","0","0","5","3","13"
