"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","FPts","FP/G","Ros","+/-"
"*052c8*","Cristopher Sanchez","PHI","SP","1","Sethmc44","Active","29","310","22.14","100%","0%"
"*061yu*","Jacob Misiorowski","MIL","SP","2","Jpanner","Active","24","293","22.54","100%","0%"
"*05rat*","James Wood","WSH","OF","3","CLANK","Active","23","279","4.04","100%","0%"
"*04355*","Yordan Alvarez","HOU","UT","4","kyfaess","Active","28","275.5","3.99","100%","0%"
"*05u6q*","Cam Schlittler","NYY","SP","5","JMerkle","Active","25","264","18.86","99%","0%"
"*062k5*","Nick Kurtz","ATH","1B","6","Jpanner","Active","23","253.5","3.78","100%","0%"
"*01ub6*","Jose Ramirez","CLE","3B","7","Sethmc44","Active","33","249.5","3.56","100%","0%"
"*04ru7*","Miguel Vargas","CHW","1B,3B","8","kyfaess","Active","26","247.5","3.75","98%","0%"
"*02mwm*","Matt Olson","ATL","1B","9","zyoung51","Active","32","246","3.62","100%","0%"
"*04qk8*","CJ Abrams","WSH","SS","10","Greenbet","Active","25","245","3.66","100%","0%"
"*05gbf*","Jordan Walker","STL","OF","11","kyfaess","Active","24","239.5","3.68","96%","0%"
"*05yo5*","Ben Rice","NYY","1B","12","Sasso","Active","27","238","3.84","100%","0%"
"*05rb3*","Chase Burns","CIN","SP","13","Coop","Active","23","238","18.31","100%","0%"
"*01uca*","Chris Sale","ATL","SP","14","zyoung51","Active","37","236","18.15","100%","0%"
"*02yc4*","Shohei Ohtani","LAD","UT,SP","15","Greenbet","Active","31","235.5","3.51","100%","0%"
"*04b00*","Brice Turang","MIL","2B","16","joeybats","Active","26","230.5","3.6","100%","0%"
"*04ru5*","Andy Pages","LAD","OF","17","Hutch","Active","25","228.5","3.36","99%","0%"
"*01s8u*","Mike Trout","LAA","OF,UT","18","JMerkle","Active","34","227.5","3.35","99%","0%"
"*03120*","Cody Bellinger","NYY","OF","19","GoldTY","Active","30","227","3.44","100%","0%"
"*03zlh*","Oneil Cruz","PIT","OF","20","GoldTY","Active","27","226","3.48","100%","0%"
"*04pxf*","Davis Martin","CHW","SP","21","KRetiree","Reserve","29","224","17.23","93%","0%"
"*04lgp*","Bobby Witt Jr.","KC","SS","23","Hutch","Active","25","224","3.25","100%","0%"
"*040b5*","Randy Arozarena","SEA","OF","22","Kipp","Active","31","224","3.2","99%","0%"
"*03cag*","Kyle Schwarber","PHI","UT","25","Jpanner","Active","33","223","3.43","100%","0%"
"*01fh9*","Bryce Harper","PHI","1B","24","GoldTY","Active","33","223","3.28","100%","0%"
"*04y4e*","Corbin Carroll","ARI","OF","26","Sethmc44","Active","25","221.5","3.41","100%","0%"
"*05jp7*","Gavin Williams","CLE","SP","27","KRetiree","Active","26","220","15.71","99%","0%"
"*03m6o*","Yandy Diaz","TB","UT","28","Sethmc44","Active","34","217.5","3.51","99%","0%"
"*05u9o*","Sal Stewart","CIN","1B,3B","29","Coop","Active","22","214.5","3.2","99%","0%"
"*05yby*","Kevin McGonigle","DET","3B,SS","30","Coop","Active","21","213","3.23","99%","0%"
"*05r8n*","Yoshinobu Yamamoto","LAD","SP","31","zyoung51","Active","27","213","17.75","100%","0%"
"*03e5m*","Bryan Reynolds","PIT","OF","33","GoldTY","Active","31","212.5","3.08","98%","0%"
"*04tjl*","Otto Lopez","MIA","SS","32","CLANK","Active","27","212.5","3.08","98%","0%"
"*05wru*","Paul Skenes","PIT","SP","35","GoldTY","Active","24","212","15.14","100%","0%"
"*04o4s*","Shea Langeliers","ATH","C","34","zyoung51","Active","28","212","3.42","100%","0%"
"*04n8z*","Xavier Edwards","MIA","2B,SS","36","Sethmc44","Active","26","210.5","3.05","99%","0%"
"*04eee*","Drew Rasmussen","TB","SP","37","Hutch","Active","30","210","16.15","99%","0%"
"*05jr0*","Alec Burleson","STL","1B,OF","38","Hutch","Active","27","209.5","3.22","98%","0%"
"*05jp9*","Bryce Elder","ATL","SP","39","Sethmc44","Active","27","209","14.93","91%","0%"
"*02i2k*","Byron Buxton","MIN","OF","40","zyoung51","Active","32","206","3.49","99%","0%"
"*051wv*","Pete Crow-Armstrong","CHC","OF","41","JMerkle","Active","24","204.5","2.96","100%","0%"
"*02mw3*","Christian Walker","HOU","1B","43","Sasso","Active","35","203.5","2.95","99%","0%"
"*05ynb*","Liam Hicks","MIA","C,1B","42","KRetiree","Active","27","203.5","3.04","90%","0%"
"*05xu5*","Zach Neto","LAA","SS","45","joeybats","Active","25","203","3.03","99%","0%"
"*03qjy*","Brandon Lowe","PIT","2B","44","zyoung51","Active","31","203","3.22","99%","0%"
"*05ucd*","Mason Miller","SD","RP","46","kyfaess","Active","27","203","7.25","99%","0%"
"*02z0s*","Aaron Judge","NYY","OF","47","CLANK","Reserve","34","202","3.42","100%","0%"
"*05tzn*","Parker Messick","CLE","SP","48","Hutch","Active","25","199","14.21","97%","0%"
"*0510l*","Emerson Hancock","SEA","SP","49","CLANK","Active","27","199","15.31","89%","0%"
