"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","FPts","FP/G","Ros","+/-","AB","R","H","1B","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","GIDP","GP"
"*04355*","Yordan Alvarez","HOU","UT","3","kyfaess","Active","28","316.5","4.06","100%","0%","283","54","91","51","15","0","25","56","49","57","1","0","5","2","78"
"*05rat*","James Wood","WSH","OF","5","CLANK","Active","23","309.5","3.97","100%","0%","296","68","80","42","18","0","20","49","60","105","13","1","4","2","78"
"*062k5*","Nick Kurtz","ATH","1B","6","Jpanner","Active","23","303","3.94","100%","0%","279","56","81","46","15","1","19","61","72","104","7","1","2","4","77"
"*04qk8*","CJ Abrams","WSH","SS","7","Greenbet","Active","25","280","3.68","100%","0%","283","51","81","47","15","2","17","57","29","66","12","4","9","4","76"
"*05yo5*","Ben Rice","NYY","1B","8","Sasso","Active","27","275.5","3.88","100%","0%","263","55","77","38","15","2","22","53","40","71","2","0","2","5","71"
"*03cag*","Kyle Schwarber","PHI","UT","10","Jpanner","Active","33","268.5","3.63","100%","0%","282","51","72","33","9","1","29","52","47","113","1","0","4","1","74"
"*02yc4*","Shohei Ohtani","LAD","UT,SP","11","Greenbet","Active","31","267","3.61","100%","0%","263","53","78","45","15","2","16","43","52","74","6","2","5","4","74"
"*04lgp*","Bobby Witt Jr.","KC","SS","12","Hutch","Reserve","26","264.5","3.48","100%","0%","299","40","88","58","19","1","10","32","35","57","28","4","1","6","76"
"*03e5m*","Bryan Reynolds","PIT","OF","13","GoldTY","Active","31","262.5","3.37","99%","0%","279","52","80","49","18","2","11","51","49","71","5","0","5","4","78"
"*051wv*","Pete Crow-Armstrong","CHC","OF","15","JMerkle","Active","24","262","3.4","100%","0%","290","47","83","51","12","4","16","40","28","82","18","5","8","2","77"
"*03120*","Cody Bellinger","NYY","OF","14","GoldTY","Active","30","262","3.49","100%","0%","275","46","76","47","15","3","11","49","44","42","10","4","0","2","75"
"*02mwm*","Matt Olson","ATL","1B","16","zyoung51","Active","32","261.5","3.44","100%","0%","295","53","80","41","19","0","20","51","33","75","2","0","1","2","76"
"*04y4e*","Corbin Carroll","ARI","OF","17","Sethmc44","Active","25","258","3.49","100%","0%","274","46","77","39","16","9","13","42","36","66","9","1","4","4","74"
"*04ru7*","Miguel Vargas","CHW","1B,3B","19","kyfaess","Active","26","257.5","3.43","98%","0%","271","51","64","35","12","1","16","44","45","55","10","2","5","4","75"
"*05gbf*","Jordan Walker","STL","OF","20","kyfaess","Active","24","256","3.46","96%","0%","292","46","85","51","16","0","18","58","23","80","10","3","2","5","74"
"*02i2k*","Byron Buxton","MIN","OF","22","zyoung51","Active","32","253.5","3.73","100%","0%","276","52","76","38","13","1","24","40","22","77","7","0","3","2","68"
"*01s8u*","Mike Trout","LAA","OF,UT","23","JMerkle","Reserve","34","252.5","3.41","99%","0%","265","54","62","33","12","0","17","36","66","83","7","0","4","5","74"
"*01fh9*","Bryce Harper","PHI","1B","24","GoldTY","Active","33","252","3.27","100%","0%","267","51","71","38","14","2","17","44","48","60","5","3","0","8","77"
