"ID","Player","Team","Position","RkOv","Status","Age","FPts","FP/G","Ros","+/-","AB","R","H","1B","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","GIDP","GP"
"*026lz*","Josh Bell","MIN","1B","111","FA","33","185","2.47","51%","+3%","273","39","69","45","15","0","9","48","21","68","1","0","2","4","75"
"*0433b*","Ildemaro Vargas","ARI","1B,2B","145","FA","34","169","2.6","52%","-13%","234","34","61","43","9","2","7","39","12","24","1","0","2","3","65"
"*04eej*","Gavin Sheets","SD","1B,OF","170","FA","30","161.5","2.34","61%","-3%","219","29","50","25","13","0","12","32","26","57","4","0","2","6","69"
"*01ual*","Paul Goldschmidt","NYY","1B","172","FA","38","161","3.22","68%","+8%","179","27","52","31","8","1","12","37","15","38","1","0","3","2","50"
"*05161*","Dominic Canzone","SEA","OF","184","FA","28","155.5","2.29","67%","+7%","174","27","49","25","12","1","11","31","18","39","1","1","3","1","68"
"*03qyv*","Jake McCarthy","COL","OF","186","FA","28","155","2.46","51%","-6%","195","26","57","36","13","3","5","28","13","40","11","3","1","3","63"
"*05yaf*","Jacob Young","WSH","OF","204","FA","26","150","2.03","34%","-2%","232","31","53","35","8","2","8","28","12","46","7","2","4","3","74"
"*04efa*","Daulton Varsho","TOR","OF","210","FA","29","148.5","2.28","73%","-5%","215","28","55","34","13","2","6","20","22","47","5","0","2","0","65"
"*04nky*","Trevor Larnach","MIN","OF,UT","223","FA","29","146","2.32","37%","+2%","194","35","54","38","10","1","5","23","28","42","2","1","3","6","63"
"*03pdw*","Andrew Benintendi","CHW","OF","215","FA","31","145","2.1","30%","+2%","211","30","50","29","10","2","9","37","19","62","1","0","0","3","69"
"*03pzo*","Leody Taveras","BAL","OF","225","FA","27","143.5","2.17","21%","-2%","204","28","52","37","9","4","2","29","23","55","9","2","1","1","66"
"*04en7*","Garrett Mitchell","MIL","OF","221","FA","27","141.5","2.21","49%","+1%","202","30","51","30","14","2","5","34","28","83","6","5","2","2","64"
"*041ts*","Luke Raley","SEA","OF","228","FA","31","139.5","2.11","60%","-4%","191","24","46","25","6","1","14","35","11","67","1","1","6","0","66"
"*06dsa*","Kyle Karros","COL","3B","230","FA","23","139","1.9","23%","+1%","212","33","52","35","12","1","4","20","30","50","2","0","1","2","73"
"*026qc*","Joc Pederson","TEX","UT","237","FA","34","136.5","1.92","24%","-4%","195","28","45","27","7","2","9","25","29","49","0","0","3","7","71"
"*04g7n*","Oswald Peraza","LAA","2B,3B","244","FA","26","134","1.91","36%","-2%","221","22","59","39","11","2","7","21","9","62","9","2","6","4","70"
"*05y4b*","Caleb Durbin","BOS","3B","263","FA","26","133.5","1.99","49%","-1%","215","25","45","25","14","1","5","29","13","33","6","3","4","6","67"
"*03qr0*","Cedric Mullins","TB","OF","251","FA","31","131.5","2.02","38%","0%","221","24","44","33","4","1","6","21","22","49","12","6","5","2","65"
"*05ydz*","Tristan Peters","CHW","OF","255","FA","26","131","1.82","21%","0%","187","23","53","33","15","2","3","22","16","40","4","2","3","0","72"
"*03nru*","Jesus Sanchez","TOR","OF","262","FA","28","130","1.88","47%","0%","206","22","58","37","14","0","7","29","9","48","1","1","4","4","69"
"*05249*","Austin Martin","MIN","OF","267","FA","27","128.5","1.89","26%","-5%","203","28","48","35","11","0","2","17","29","45","8","5","5","4","68"
"*02i11*","Jorge Soler","LAA","OF","271","FA","34","128","2.17","56%","-4%","214","28","47","27","10","1","9","33","22","76","0","0","4","7","59"
"*0516n*","Isaac Collins","KC","OF","275","FA","28","125.5","1.85","24%","-1%","212","27","48","34","11","0","3","23","32","61","4","4","5","3","68"
"*041xv*","Nathaniel Lowe","CIN","1B","282","FA","30","123.5","2.13","30%","-3%","164","18","43","23","11","0","9","25","23","45","0","0","0","1","58"
"*0515v*","David Hamilton","MIL","2B,3B,SS","292","FA","28","119.5","1.93","25%","-4%","174","30","40","32","4","1","3","11","20","43","15","5","1","1","62"
"*03de9*","Rhys Hoskins","CLE","1B","300","FA","33","116","1.9","19%","0%","177","25","31","12","12","0","7","26","35","66","0","0","2","3","61"
"*05jrh*","Colt Keith","DET","3B","306","FA","24","114.5","1.66","54%","0%","199","27","52","38","8","2","4","16","11","43","3","0","3","3","69"
"*0311f*","Victor Caratini","MIN","C","344","FA","32","113.5","2.03","18%","-1%","173","17","42","31","6","0","5","29","20","39","0","0","8","4","56"
"*05139*","Michael Massey","KC","2B","310","FA","28","112.5","1.91","16%","-2%","168","22","43","24","12","0","7","25","6","31","1","0","0","3","59"
"*04pvs*","Blaze Alexander","BAL","3B,OF","326","FA","27","111.5","1.69","36%","+3%","164","20","50","36","11","1","2","21","11","41","8","3","3","5","66"
"*031dw*","Mike Yastrzemski","ATL","OF","317","FA","35","111.5","1.62","23%","-1%","187","27","43","29","9","1","4","19","20","51","1","0","4","1","69"
"*04bpj*","Taylor Walls","TB","SS","320","FA","29","110.5","1.91","9%","0%","165","24","36","27","7","2","0","18","24","49","12","2","2","2","58"
"*0317o*","Jeff McNeil","ATH","2B,OF","328","FA","34","110","1.57","32%","-2%","221","19","52","39","10","0","3","19","21","34","1","2","3","6","70"
"*03dei*","Lane Thomas","KC","OF","329","FA","30","108","1.74","24%","+7%","155","19","36","25","6","0","5","20","29","38","3","3","2","3","62"
"*04efc*","Tyler Freeman","COL","OF","327","FA","27","108","2.2","19%","0%","161","22","43","34","5","1","3","20","9","22","5","3","11","9","49"
"*051em*","Kerry Carpenter","DET","OF","330","FA","28","107.5","2.03","71%","-1%","146","16","34","18","4","2","10","29","14","53","0","0","4","1","53"
"*06bs4*","Daniel Schneemann","CLE","2B,3B,OF","331","FA","29","107.5","1.76","28%","-2%","193","23","42","27","9","0","6","26","20","65","4","2","0","4","61"
