"Standings"
"Rk","Team","W","L","T","Win%","GB","FPtsF","FPtsA","Streak"
"1","zyoung510","9","3","0",".750","0","3,328","2,972","1 (W)"
"2","Kenny's Retirement Home","8","4","0",".667","1","3,136","2,796.5","2 (W)"
"3","Clankas","8","4","0",".667","1","3,136","3,060","2 (W)"
"4","joeybats5","8","4","0",".667","1","3,031.5","2,831","1 (W)"
"5","Merkle x Owen","8","4","0",".667","1","2,922.5","2,661.5","5 (W)"
"6","Backyard Buntsmokers","7","5","0",".583","2","3,192","3,107.5","1 (L)"
"7","Former Players II","7","5","0",".583","2","2,994","2,886.5","1 (L)"
"8","Tommy Hustle","6","6","0",".500","3","3,370","3,193.5","2 (W)"
"9","Tucker? I hardly know her","5","7","0",".417","4","3,083.5","3,205.5","1 (W)"
"10","Sandlot Sluggers","5","7","0",".417","4","2,691.5","2,902.5","1 (L)"
"11","Seth x Simon","4","8","0",".333","5","2,940","3,117.5","2 (L)"
"12","Dirtbags","4","8","0",".333","5","2,853","3,009.5","3 (L)"
"13","The Hot Tub Whalers","3","9","0",".250","6","2,805.5","3,111.5","6 (L)"
"14","Greenbeto_20","2","10","0",".167","7","2,572.5","3,201","2 (L)"

"Scoring Period 12"
"Away","FPts","Home","FPts"
"Seth x Simon","189.5","Merkle x Owen","232"
"Sandlot Sluggers","209","joeybats5","260.5"
"Tucker? I hardly know her","326","The Hot Tub Whalers","236"
"Former Players II","154","zyoung510","231.5"
"Tommy Hustle","299","Backyard Buntsmokers","264.5"
"Clankas","239.5","Dirtbags","231.5"
"Greenbeto_20","222.5","Kenny's Retirement Home","294"

"Scoring Period 11"
"Away","FPts","Home","FPts"
"Sandlot Sluggers","201.5","Seth x Simon","170.5"
"Merkle x Owen","245","Tucker? I hardly know her","218"
"joeybats5","156","Former Players II","277"
"The Hot Tub Whalers","226.5","Tommy Hustle","305"
"zyoung510","284","Clankas","324.5"
"Backyard Buntsmokers","272.5","Greenbeto_20","146.5"
"Dirtbags","190","Kenny's Retirement Home","199"

