"Standings"
"Rk","Team","W","L","T","Win%","GB","FPtsF","FPtsA","Streak"
"1","zyoung510","9","3","0",".750","0","3,456","3,057","1 (W)"
"2","Kenny's Retirement Home","8","4","0",".667","1","3,249","2,909.5","2 (W)"
"3","Clankas","8","4","0",".667","1","3,217","3,166.5","2 (W)"
"4","joeybats5","8","4","0",".667","1","3,115.5","2,943","1 (W)"
"5","Merkle x Owen","8","4","0",".667","1","3,104","2,815.5","5 (W)"
"6","Backyard Buntsmokers","7","5","0",".583","2","3,264.5","3,256","1 (L)"
"7","Former Players II","7","5","0",".583","2","3,126","3,002","1 (L)"
"8","Tommy Hustle","6","6","0",".500","3","3,483","3,306.5","2 (W)"
"9","Tucker? I hardly know her","5","7","0",".417","4","3,232","3,278","1 (W)"
"10","Sandlot Sluggers","5","7","0",".417","4","2,776.5","3,030.5","1 (L)"
"11","Seth x Simon","4","8","0",".333","5","3,052","3,201.5","2 (L)"
"12","Dirtbags","4","8","0",".333","5","2,968.5","3,144.5","3 (L)"
"13","The Hot Tub Whalers","3","9","0",".250","6","2,959.5","3,293","6 (L)"
"14","Greenbeto_20","2","10","0",".167","7","2,679","3,279","2 (L)"

"Scoring Period 13"
"Away","FPts","Home","FPts"
"joeybats5","84","Seth x Simon","112"
"The Hot Tub Whalers","154","Merkle x Owen","181.5"
"zyoung510","128","Sandlot Sluggers","85"
"Backyard Buntsmokers","72.5","Tucker? I hardly know her","148.5"
"Dirtbags","115.5","Former Players II","132"
"Kenny's Retirement Home","113","Tommy Hustle","113"
"Greenbeto_20","106.5","Clankas","78"

"Scoring Period 12"
"Away","FPts","Home","FPts"
"Seth x Simon","189.5","Merkle x Owen","232"
"Sandlot Sluggers","209","joeybats5","260.5"
"Tucker? I hardly know her","326","The Hot Tub Whalers","236"
"Former Players II","154","zyoung510","231.5"
"Tommy Hustle","299","Backyard Buntsmokers","264.5"
"Clankas","242.5","Dirtbags","231.5"
"Greenbeto_20","222.5","Kenny's Retirement Home","294"

