"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","Fantasy Points","Average Fantasy Points per Game","AB","R","H","1B","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","GIDP","GP"
"*05rcd*","C","Joe Mack","MIA","C","Act","23","135","1.88","209","31","49","31","7","0","11","34","14","58","0","0","2","6","72"
"*04nq4*","1B","Blaze Jordan","STL","1B,3B","Act","23","76","1.77","137","12","35","24","7","3","1","22","5","20","0","0","1","5","43"
"*04pkr*","2B","Nico Hoerner","CHC","2B","Act","29","320","2.74","466","50","121","88","25","1","7","55","39","46","18","3","5","8","117"
"*04yig*","3B","Brooks Lee","MIN","3B,SS","Act","25","286.5","2.54","417","52","100","63","17","3","17","61","32","75","7","4","2","7","113"
"*02611*","SS","Francisco Lindor","NYM","SS","Act","32","168.5","2.72","239","33","56","36","6","4","10","29","28","53","3","2","3","2","62"
"*040b5*","OF","Randy Arozarena","SEA","OF","Act","31","338","3.05","409","73","113","74","24","1","14","49","45","98","20","6","17","12","111"
"*0596e*","OF","Dylan Crews","WSH","OF","Act","24","160","2.32","252","38","55","36","10","0","9","25","20","66","7","0","7","3","69"
"*03zbh*","OF","Fernando Tatis Jr.","SD","2B,OF","Act","27","332.5","2.84","456","63","128","92","24","2","10","51","47","99","26","12","5","10","117"
"*0622t*","UT","Jacob Wilson","ATH","SS","Act","24","189","2.49","308","35","83","60","15","1","7","36","12","38","4","0","2","6","76"
"*05ahe*","1B","Curtis Mead","BOS","1B,3B","Res","25","254.5","2.89","285","49","72","37","17","1","17","48","39","63","6","2","5","7","88"
"*05184*","1B","Vinnie Pasquantino","KC","1B","Res","28","183","2.32","293","34","68","49","11","2","6","34","37","60","4","0","2","3","79"
"*05y7x*","2B","Cole Young","SEA","2B","Res","23","278.5","2.34","434","54","115","83","15","3","14","52","31","79","3","5","8","6","119"
"*059bx*","3B","Brady House","WSH","3B","Res","23","114","2","203","27","46","28","10","0","8","27","14","64","1","0","1","5","57"
"*0648n*","SS","Chase Meidroth","CHW","2B,SS","Res","25","271","2.4","416","67","114","82","21","0","11","46","46","108","1","2","4","6","113"
"*05161*","OF","Dominic Canzone","SEA","OF","Res","28","234.5","2.25","307","41","77","41","17","1","18","49","31","71","1","1","4","6","104"
"*04pst*","OF","Jarren Duran","BOS","OF","Res","29","257.5","2.34","423","52","85","55","11","3","16","60","31","133","17","3","4","4","110"
"*041e2*","OF","Mickey Moniak","COL","OF","Res","28","225.5","2.82","275","40","76","39","14","4","19","52","15","75","1","0","3","4","80"
"*03d6s*","3B","Matt Chapman","SF","3B","IR","33","183.5","2.18","307","35","72","46","18","1","7","42","37","81","0","2","5","6","84"
"*05gss*","C","Jeferson Quero","MIL","C","Min","23","1","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"*05ybr*","C","Ethan Salas","SD","C","Min","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ge1*","1B","Ryan Clifford","NYM","1B,OF","Min","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05yid*","2B","Michael Arroyo","SEA","2B","Min","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06alq*","SS","Billy Carlson","CHW","SS","Min","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05y3p*","SS","Arjun Nimmala","LAA","SS","Min","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*066sx*","OF","Jonny Farmelo","SEA","OF","Min","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*066ip*","OF","Mike Sirota","LAD","OF","Min","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","Fantasy Points","Average Fantasy Points per Game","IP","ERA","K","W","ER","H","BB","SV","HLD","QS","HB","GP"
"*02c4q*","SP","Nick Martinez","TB","SP,RP","Act","36","278","12.64","129","2.65","73","11","38","122","20","0","0","11","3","22"
"*066cf*","SP","Zebby Matthews","MIN","SP","Act","26","107","7.13","86","5.23","73","5","50","87","28","0","0","8","3","15"
"*064no*","SP","Spencer Miles","TOR","SP,RP","Act","26","157","4.62","75","3.24","72","4","27","64","20","0","3","0","0","34"
"*05a1v*","SP","Keider Montero","DET","SP,RP","Act","26","247","9.88","122.1","3.38","86","8","46","96","28","1","0","8","5","25"
"*0425t*","SP","Bailey Ober","MIN","SP","Act","31","135","7.94","93","4.45","63","7","46","89","24","0","0","6","2","17"
"*05a29*","SP","Carmen Mlodzinski","PIT","SP,RP","Act","27","167","6.42","97.1","3.51","77","6","38","100","32","2","3","1","2","26"
"*05yb8*","RP","Chad Patrick","MIL","SP,RP","Act","27","207","5.17","86.2","3.32","78","6","32","71","32","5","6","1","2","40"
"*026t9*","RP","Tyron Guerrero","BOS","RP","Act","35","121","4.17","30","2.10","33","1","7","25","3","0","15","0","2","29"
"*0516x*","RP","Brent Headrick","NYY","RP","Act","28","226","3.77","59.1","1.52","71","6","10","49","19","0","17","0","0","60"
"*05y0j*","SP","Spencer Arrighetti","TOR","SP","IR","26","130","7.65","88","4.60","87","7","45","68","50","0","0","6","14","17"
"*05ajh*","SP","Garrett Crochet","BOS","SP","IR","27","37","6.17","30","6.30","37","3","21","33","11","0","0","3","4","6"
"*05a2d*","SP","Max Meyer","MIA","SP","IR","27","279","13.95","111","2.68","121","9","33","85","41","0","0","7","7","20"
"*06ktt*","SP","Jamie Arnold","ATH","SP","Min","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ms5*","SP","Kyson Witherspoon","BAL","SP","Min","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

