name,mlb_id,recent_games,recent_fpts,recent_fpg,group
Reid Detmers,672282,6,142.0,23.67,pitching
Pete Crow-Armstrong,691718,27,138.0,5.11,hitting
Jesús Luzardo,666200,5,135.0,27.0,pitching
Rafael Devers,646240,28,131.5,4.7,hitting
Alex Bregman,608324,27,125.5,4.65,hitting
Cade Cavalli,676917,5,124.0,24.8,pitching
Cal Quantrill,615698,6,124.0,20.67,pitching
Cam Schlittler,693645,5,115.0,23.0,pitching
Logan Henderson,701656,5,113.0,22.6,pitching
Blake Snell,605483,5,112.0,22.4,pitching
Michael Wacha,608379,6,112.0,18.67,pitching
Pete Alonso,624413,28,104.5,3.73,hitting
Fernando Tatis Jr.,665487,26,103.0,3.96,hitting
Dylan Cease,656302,6,103.0,17.17,pitching
Seiya Suzuki,673548,27,101.5,3.76,hitting
Bobby Witt Jr.,677951,27,101.5,3.76,hitting
Yandy Díaz,650490,27,99.5,3.69,hitting
Jackson Chourio,694192,27,98.5,3.65,hitting
Miguel Vargas,678246,26,98.5,3.79,hitting
Josh Hader,623352,14,97.0,6.93,pitching
Elly De La Cruz,682829,28,96.0,3.43,hitting
Nolan McLean,690997,5,96.0,19.2,pitching
Braxton Ashcraft,677952,5,96.0,19.2,pitching
Aaron Nola,605400,5,95.0,19.0,pitching
Noah Cameron,702070,6,95.0,15.83,pitching
Henry Bolte,703607,28,94.5,3.38,hitting
Tarik Skubal,669373,6,94.0,15.67,pitching
Mookie Betts,605141,26,93.5,3.6,hitting
Junior Caminero,691406,27,92.5,3.43,hitting
Randy Arozarena,668227,26,92.5,3.56,hitting
Tristan Peters,671976,27,92.0,3.41,hitting
Sal Stewart,701398,28,92.0,3.29,hitting
Michael King,650633,5,92.0,18.4,pitching
Tyler Mahle,641816,5,92.0,18.4,pitching
Parker Messick,800048,5,92.0,18.4,pitching
Zach Neto,687263,25,91.5,3.66,hitting
Zack Gelof,680869,28,91.5,3.27,hitting
Luke Keaschall,807712,26,91.0,3.5,hitting
Chris Sale,519242,4,91.0,22.75,pitching
Jordan Walker,691023,28,90.5,3.23,hitting
Kyle Schwarber,656941,26,90.5,3.48,hitting
Eduardo Rodriguez,593958,5,90.0,18.0,pitching
Cal Raleigh,663728,25,89.5,3.58,hitting
Mason Montgomery,682254,13,89.0,6.85,pitching
Daylen Lile,695734,27,88.5,3.28,hitting
Bryan Woo,693433,5,88.0,17.6,pitching
Freddy Peralta,642547,6,88.0,14.67,pitching
Mickey Gasper,681508,19,87.5,4.61,hitting
Jeff McNeil,643446,26,87.5,3.37,hitting
Alec Burleson,676475,28,87.5,3.12,hitting
Gabriel Moreno,672515,25,86.5,3.46,hitting
Heriberto Hernández,681715,26,86.5,3.33,hitting
Bryce Eldridge,805811,25,85.0,3.4,hitting
Isaac Paredes,670623,26,85.0,3.27,hitting
Cristopher Sánchez,650911,5,85.0,17.0,pitching
Jacob Misiorowski,694819,5,83.0,16.6,pitching
Jacob Lopez,682052,6,82.0,13.67,pitching
Hayden Wesneski,669713,6,82.0,13.67,pitching
Javier Sanoja,691594,27,81.5,3.02,hitting
William Contreras,661388,25,81.5,3.26,hitting
Lawrence Butler,671732,28,81.0,2.89,hitting
Carter Jensen,695600,25,81.0,3.24,hitting
Sonny Gray,543243,5,81.0,16.2,pitching
Walbert Ureña,700712,5,81.0,16.2,pitching
Trevor Rogers,669432,6,81.0,13.5,pitching
Jac Caglianone,695506,21,80.0,3.81,hitting
Iván Herrera,671056,28,79.5,2.84,hitting
Brooks Lee,686797,26,79.0,3.04,hitting
Steven Kwan,680757,27,78.5,2.91,hitting
Ronald Acuña Jr.,660670,26,78.5,3.02,hitting
Jake McCarthy,664983,26,78.0,3.0,hitting
Payton Tolle,801139,5,78.0,15.6,pitching
Alec Bohm,664761,24,77.5,3.23,hitting
Bo Bichette,666182,25,77.5,3.1,hitting
Eugenio Suárez,553993,26,77.5,2.98,hitting
Nick Sogard,686765,28,77.0,2.75,hitting
Ben Rice,700250,25,77.0,3.08,hitting
Corey Seager,608369,26,76.0,2.92,hitting
Wilyer Abreu,677800,28,76.0,2.71,hitting
Gunnar Henderson,683002,28,76.0,2.71,hitting
Corbin Carroll,682998,26,76.0,2.92,hitting
Vinnie Pasquantino,686469,20,75.5,3.77,hitting
Jo Adell,666176,26,75.5,2.9,hitting
Ryan Jeffers,680777,24,75.5,3.15,hitting
Kazuma Okamoto,672960,24,75.0,3.12,hitting
Tommy Edman,669242,26,75.0,2.88,hitting
Jazz Chisholm Jr.,665862,25,74.5,2.98,hitting
Ezequiel Duran,677649,27,74.5,2.76,hitting
Coby Mayo,691723,25,74.5,2.98,hitting
Francisco Lindor,596019,26,74.5,2.87,hitting
TJ Rumfield,681198,25,74.0,2.96,hitting
Alejandro Kirk,672386,22,74.0,3.36,hitting
Spencer Jones,682987,26,74.0,2.85,hitting
Yordan Alvarez,670541,26,74.0,2.85,hitting
Louis Varland,686973,11,74.0,6.73,pitching
Yoshinobu Yamamoto,808967,4,74.0,18.5,pitching
Zebby Matthews,805673,5,74.0,14.8,pitching
Drew Rasmussen,656876,5,74.0,14.8,pitching
Kody Clemens,665019,24,73.0,3.04,hitting
Walker Buehler,621111,5,73.0,14.6,pitching
Kevin McGonigle,805808,26,72.5,2.79,hitting
Wyatt Langford,694671,27,72.5,2.69,hitting
Ty France,664034,26,72.0,2.77,hitting
Jakob Marsee,805300,26,72.0,2.77,hitting
Jake Bauers,641343,26,72.0,2.77,hitting
Max Muncy,571970,25,71.0,2.84,hitting
Cade Smith,671922,11,71.0,6.45,pitching
Bryce Harper,547180,26,70.5,2.71,hitting
Joshua Báez,695491,24,70.5,2.94,hitting
Jake Burger,669394,25,70.5,2.82,hitting
Andrew Painter,691725,6,70.0,11.67,pitching
Emilio Pagán,641941,12,69.0,5.75,pitching
Ryan Johnson,696270,5,69.0,13.8,pitching
Chandler Simpson,802415,26,68.5,2.63,hitting
Salvador Perez,521692,26,68.5,2.63,hitting
Manny Machado,592518,25,68.0,2.72,hitting
Michael Harris II,671739,27,68.0,2.52,hitting
Sam Antonacci,803011,27,68.0,2.52,hitting
Shohei Ohtani,660271,22,68.0,3.09,hitting
Paul Blackburn,621112,12,68.0,5.67,pitching
Grant Taylor,691799,12,68.0,5.67,pitching
Teoscar Hernández,606192,26,67.5,2.6,hitting
Dominic Canzone,686527,25,67.0,2.68,hitting
Mason Miller,695243,11,67.0,6.09,pitching
Josh Bell,605137,25,66.5,2.66,hitting
Christian Encarnacion-Strand,687952,27,66.5,2.46,hitting
Otto Lopez,672640,27,66.0,2.44,hitting
Aaron Civale,650644,8,66.0,8.25,pitching
DL Hall,669084,12,66.0,5.5,pitching
Clay Holmes,605280,5,66.0,13.2,pitching
Brady House,691781,24,65.5,2.73,hitting
George Springer,543807,24,65.0,2.71,hitting
Drake Baldwin,686948,27,65.0,2.41,hitting
Oneil Cruz,665833,18,65.0,3.61,hitting
Bryan Reynolds,668804,25,65.0,2.6,hitting
Nate Lavender,681320,12,65.0,5.42,pitching
