player,mlbam_id,current_team,level,eligible
Arjun Nimmala,805796,Rocket City Trash Pandas,Double-A,True
Billy Carlson,815814,Kannapolis Cannon Ballers,Single-A,True
Ethan Salas,806956,El Paso Chihuahuas,Triple-A,True
Jeferson Quero,691620,Nashville Sounds,Triple-A,True
Jonny Farmelo,806071,Arkansas Travelers,Double-A,True
Josiah Ragsdale,828824,Springfield Cardinals,Double-A,True
Michael Arroyo,703197,Tacoma Rainiers,Triple-A,True
Mike Sirota,701527,Tulsa Drillers,Double-A,True
Ryan Clifford,691775,Syracuse Mets,Triple-A,True
Zebby Matthews,805673,St. Paul Saints,Triple-A,True
Bailey Ober,641927,Minnesota Twins,Major League Baseball,False
Blaze Jordan,691458,St. Louis Cardinals,Major League Baseball,False
Brady House,691781,Washington Nationals,Major League Baseball,False
Brent Headrick,687396,New York Yankees,Major League Baseball,False
Brooks Lee,686797,Minnesota Twins,Major League Baseball,False
Carmen Mlodzinski,669387,Pittsburgh Pirates,Major League Baseball,False
Chad Patrick,694477,Milwaukee Brewers,Major League Baseball,False
Chase Meidroth,805367,Chicago White Sox,Major League Baseball,False
Cole Young,702284,Seattle Mariners,Major League Baseball,False
Curtis Mead,678554,Boston Red Sox,Major League Baseball,False
Dominic Canzone,686527,Seattle Mariners,Major League Baseball,False
Dylan Crews,686611,Washington Nationals,Major League Baseball,False
Fernando Tatis Jr.,665487,San Diego Padres,Major League Baseball,False
Francisco Lindor,596019,New York Mets,Major League Baseball,False
Garrett Crochet,676979,Boston Red Sox,Major League Baseball,False
Jacob Wilson,805779,Athletics,Major League Baseball,False
Jarren Duran,680776,Boston Red Sox,Major League Baseball,False
Joe Mack,691788,Miami Marlins,Major League Baseball,False
Keider Montero,672456,Detroit Tigers,Major League Baseball,False
Kyson Witherspoon,,(no current team),?,
Matt Chapman,656305,San Francisco Giants,Major League Baseball,False
Max Meyer,676974,Miami Marlins,Major League Baseball,False
Mickey Moniak,666160,Colorado Rockies,Major League Baseball,False
Nick Martinez,607259,Tampa Bay Rays,Major League Baseball,False
Nico Hoerner,663538,Chicago Cubs,Major League Baseball,False
Randy Arozarena,668227,Seattle Mariners,Major League Baseball,False
Robbie Ray,592662,San Diego Padres,Major League Baseball,False
Spencer Arrighetti,681293,Toronto Blue Jays,Major League Baseball,False
Tyron Guerrero,594027,Boston Red Sox,Major League Baseball,False
Vinnie Pasquantino,686469,Kansas City Royals,Major League Baseball,False
