player,team,position,role,owner_status,roster_status,age,fpts,fpg_raw,fpg_regressed,ros_pct,rkov,estimated_games,sample_confidence,win_now_score,dynasty_score,dynasty_minus_win_now,forward_fpg,ros_vor,ip,ip_pct,whip,k_per_9,qs_rate,prospect_bonus,age_curve,mlb_overall_rank,mlb_org_rank,asset_value,asset_confidence,baseline_confidence,career_baseline,two_way,asset_blend_alpha,prospect_phase,prospect_bonus_applied,dynasty_gap,dynasty_signal
Foster Griffin,WSH,"SP,RP",SP/RP,Coop,Active,30.0,307.0,15.35,13.32,92.0,24.0,20.0,0.83,100.0,73.98,-26.02,13.32,5.05,117.1,98.7,1.03,8.53,0.55,0.0,0.0,,,33.7,LOW,0.22,8.81,False,0.132,0.78,0.0,,NO_CONSENSUS
Jacob Misiorowski,MIL,SP,SP,Jpanner,Active,24.0,424.0,23.56,23.56,100.0,1.0,18.0,1.0,99.74,85.24,-14.5,23.56,15.29,111.0,95.94,0.76,13.54,0.67,0.0,10.0,,,69.8,MED,0.5,14.51,False,0.3,0.5,0.0,-11.8,ALIGNED
Cam Schlittler,NYY,SP,SP,JMerkle,Active,25.0,374.0,17.81,17.81,99.0,4.0,21.0,1.0,99.28,83.13,-16.15,17.81,9.54,123.0,99.57,0.96,10.61,0.57,0.0,10.0,,,63.9,MED,0.5,13.98,False,0.3,0.5,0.0,18.7,BUY_LOW
Yoshinobu Yamamoto,LAD,SP,SP,zyoung51,Active,27.0,335.0,18.61,18.61,100.0,11.0,18.0,1.0,99.25,78.12,-21.13,18.61,10.34,119.2,99.22,0.88,8.53,0.78,0.0,5.0,,,72.6,HIGH,1.0,16.07,False,0.6,0.0,0.0,-18.0,SELL_HIGH
Cristopher Sanchez,PHI,SP,SP,Sethmc44,Active,29.0,348.0,17.4,17.4,100.0,6.0,20.0,1.0,99.18,72.84,-26.34,17.4,9.13,127.1,99.74,1.19,10.2,0.7,0.0,0.0,,,67.1,HIGH,1.0,15.69,False,0.6,0.0,0.0,-20.5,SELL_HIGH
Braxton Ashcraft,PIT,"SP,RP",SP/RP,zyoung51,Active,26.0,270.0,14.21,11.91,98.0,66.0,19.0,0.79,99.01,76.24,-22.77,11.91,3.64,113.1,97.32,1.11,10.19,0.53,0.0,5.0,,,50.0,MED,0.41,8.75,False,0.246,0.59,0.0,,NO_CONSENSUS
Chris Sale,ATL,SP,SP,zyoung51,Active,37.0,319.0,17.72,17.72,100.0,17.0,18.0,1.0,98.96,38.65,-60.31,17.72,9.45,105.0,92.75,1.06,10.54,0.61,0.0,-13.0,,,19.0,HIGH,1.0,17.34,False,0.6,0.0,0.0,-31.5,SELL_HIGH
Zack Wheeler,PHI,SP,SP,KRetiree,Active,36.0,309.0,20.6,20.6,99.0,23.0,15.0,1.0,98.92,41.16,-57.76,20.6,12.33,93.0,87.13,0.89,10.45,0.73,0.0,-13.0,,,23.4,HIGH,1.0,17.98,False,0.6,0.0,0.0,-31.4,SELL_HIGH
Dylan Cease,TOR,SP,SP,Sasso,Active,30.0,290.0,17.06,17.06,100.0,36.0,17.0,1.0,98.24,50.74,-47.5,17.06,8.79,98.1,89.46,1.13,13.58,0.41,0.0,0.0,,,31.0,HIGH,1.0,11.89,False,0.6,0.0,0.0,-21.5,SELL_HIGH
Chase Burns,CIN,SP,SP,Coop,Active,23.0,296.0,16.44,16.44,100.0,31.0,18.0,1.0,98.21,82.08,-16.13,16.44,8.17,102.2,91.54,1.12,10.39,0.5,0.0,10.0,,,59.5,MED,0.45,12.39,False,0.27,0.55,0.0,-23.1,SELL_HIGH
Logan Gilbert,SEA,SP,SP,KRetiree,Active,29.0,290.0,14.5,14.5,100.0,38.0,20.0,1.0,97.7,65.61,-32.09,14.5,6.23,120.0,99.4,0.98,9.67,0.45,0.0,0.0,,,56.0,HIGH,1.0,13.99,False,0.6,0.0,0.0,-32.0,SELL_HIGH
Joe Ryan,MIN,SP,SP,Hutch,Active,30.0,290.0,14.5,14.5,99.0,37.0,20.0,1.0,97.59,60.24,-37.35,14.5,6.23,110.1,94.99,1.05,10.46,0.55,0.0,0.0,,,47.2,HIGH,1.0,13.55,False,0.6,0.0,0.0,-30.4,SELL_HIGH
Paul Skenes,PIT,SP,SP,GoldTY,Active,24.0,291.0,13.86,13.86,100.0,33.0,21.0,1.0,97.59,86.48,-11.11,13.86,5.59,115.1,98.19,1.04,10.79,0.48,0.0,10.0,,,84.1,HIGH,1.0,17.21,False,0.6,0.0,0.0,-13.2,ALIGNED
Sonny Gray,BOS,SP,SP,Kipp,Active,36.0,281.0,15.61,15.61,99.0,49.0,18.0,1.0,97.46,30.2,-67.27,15.61,7.34,101.2,91.28,1.13,8.0,0.72,0.0,-13.0,,,6.0,HIGH,1.0,12.06,False,0.6,0.0,0.0,,NO_CONSENSUS
Justin Wrobleski,LAD,"SP,RP",SP/RP,Sethmc44,Active,26.0,252.0,15.75,11.55,89.0,88.0,16.0,0.67,96.94,71.9,-25.04,11.55,3.28,100.1,90.41,1.02,6.56,0.69,0.0,5.0,,,45.6,MED,0.45,8.38,False,0.27,0.55,0.0,,NO_CONSENSUS
Parker Messick,CLE,SP,SP,Hutch,Active,25.0,276.0,14.53,14.53,98.0,59.0,19.0,1.0,96.92,80.91,-16.01,14.53,6.26,112.0,96.46,1.07,8.84,0.37,0.0,10.0,,,53.2,MED,0.37,12.49,False,0.222,0.63,0.0,,NO_CONSENSUS
Jesus Luzardo,PHI,SP,SP,CLANK,Active,28.0,277.0,13.85,13.85,99.0,56.0,20.0,1.0,96.67,56.98,-39.69,13.85,5.58,115.1,98.19,1.21,11.18,0.5,0.0,5.0,,,38.1,HIGH,0.98,11.57,False,0.588,0.02,0.0,-23.4,SELL_HIGH
Max Meyer,MIA,SP,SP,Kipp,Active,27.0,279.0,13.95,13.95,95.0,51.0,20.0,1.0,96.45,64.51,-31.94,13.95,5.68,111.0,95.94,1.14,9.81,0.35,0.0,5.0,,,35.3,MED,0.65,11.07,False,0.39,0.35,0.0,20.2,BUY_LOW
Jacob deGrom,TEX,SP,SP,kyfaess,Active,38.0,257.0,14.28,14.28,100.0,79.0,18.0,1.0,96.41,37.09,-59.33,14.28,6.01,100.2,90.85,1.02,10.96,0.44,0.0,-13.0,,,6.3,HIGH,0.8,14.04,False,0.48,0.2,0.0,-49.6,SELL_HIGH
Nolan McLean,NYM,SP,SP,joeybats,Active,24.0,273.0,13.65,13.65,99.0,61.0,20.0,1.0,96.35,80.75,-15.6,13.65,5.38,113.1,97.32,1.1,10.74,0.55,0.0,10.0,,,54.0,MED,0.38,12.24,False,0.228,0.62,0.0,-17.9,SELL_HIGH
James Wood,WSH,OF,H,CLANK,Active,23.0,409.5,4.09,4.09,100.0,2.0,100.12,1.0,95.92,95.27,-0.65,4.09,1.64,,,,,,0.0,12.0,,,97.6,HIGH,1.0,3.12,False,0.6,0.0,0.0,4.3,ALIGNED
Yordan Alvarez,HOU,OF,H,kyfaess,Active,29.0,399.0,4.03,4.03,100.0,3.0,99.01,1.0,95.78,88.99,-6.79,4.03,1.58,,,,,,0.0,0.0,,,95.2,HIGH,1.0,3.45,False,0.6,0.0,0.0,3.9,ALIGNED
Tarik Skubal,DET,SP,SP,JMerkle,Active,29.0,232.0,16.57,16.57,100.0,128.0,14.0,1.0,95.77,80.13,-15.64,16.57,8.3,82.2,83.33,0.94,10.73,0.5,0.0,0.0,,,82.1,HIGH,1.0,18.73,False,0.6,0.0,0.0,-13.9,ALIGNED
CJ Abrams,WSH,SS,H,Greenbet,Active,25.0,335.0,3.49,3.49,100.0,10.0,95.99,1.0,95.74,92.05,-3.7,3.49,1.04,,,,,,0.0,6.0,,,96.4,HIGH,1.0,3.18,False,0.6,0.0,0.0,7.1,ALIGNED
Gavin Williams,CLE,SP,SP,KRetiree,Active,26.0,265.0,13.25,13.25,99.0,72.0,20.0,1.0,95.62,59.85,-35.77,13.25,4.98,119.1,98.96,1.15,10.96,0.35,0.0,5.0,,,44.4,HIGH,1.0,11.77,False,0.6,0.0,0.0,1.6,ALIGNED
Miguel Vargas,CHW,"1B,3B",H,kyfaess,Active,26.0,338.0,3.48,3.48,98.0,8.0,97.13,1.0,95.48,77.34,-18.14,3.48,1.03,,,,,,0.0,6.0,,,72.2,HIGH,1.0,2.61,False,0.6,0.0,0.0,,NO_CONSENSUS
Ben Rice,NYY,1B,H,Sasso,Active,27.0,340.5,3.62,3.62,100.0,7.0,94.06,1.0,95.48,82.77,-12.7,3.62,1.17,,,,,,0.0,6.0,,,81.0,HIGH,1.0,2.85,False,0.6,0.0,0.0,9.8,ALIGNED
Drew Rasmussen,TB,SP,SP,Hutch,Active,30.0,248.0,13.78,13.78,99.0,100.0,18.0,1.0,95.42,46.43,-49.0,13.78,5.51,99.1,90.16,0.94,8.9,0.56,0.0,0.0,,,25.8,HIGH,1.0,11.39,False,0.6,0.0,0.0,7.4,ALIGNED
Pete Crow-Armstrong,CHC,OF,H,JMerkle,Active,24.0,353.0,3.57,3.57,100.0,5.0,98.88,1.0,95.39,92.55,-2.84,3.57,1.12,,,,,,0.0,12.0,,,93.3,HIGH,1.0,2.96,False,0.6,0.0,0.0,0.7,ALIGNED
Junior Caminero,TB,3B,H,Sasso,Active,23.0,326.0,3.33,3.33,100.0,14.0,97.9,1.0,94.72,94.44,-0.28,3.33,0.88,,,,,,0.0,12.0,,,96.8,HIGH,1.0,3.02,False,0.6,0.0,0.0,-0.9,ALIGNED
Juan Soto,NYM,OF,H,joeybats,Active,27.0,299.5,3.65,3.65,100.0,29.0,82.05,1.0,94.49,93.55,-0.95,3.65,1.2,,,,,,0.0,6.0,,,99.6,HIGH,1.0,4.02,False,0.6,0.0,0.0,0.3,ALIGNED
Brice Turang,MIL,2B,H,joeybats,Active,26.0,316.0,3.36,3.36,100.0,19.0,94.05,1.0,94.3,87.17,-7.14,3.36,0.91,,,,,,0.0,6.0,,,88.9,HIGH,1.0,2.96,False,0.6,0.0,0.0,20.3,BUY_LOW
Bobby Witt Jr.,KC,SS,H,Hutch,Active,26.0,310.0,3.33,3.33,100.0,22.0,93.09,1.0,94.29,93.08,-1.21,3.33,0.88,,,,,,0.0,6.0,,,98.8,HIGH,1.0,3.69,False,0.6,0.0,0.0,-0.9,ALIGNED
Nick Martinez,TB,"SP,RP",SP/RP,Kipp,Active,35.0,223.0,12.39,10.08,91.0,145.0,18.0,0.75,94.26,27.65,-66.61,10.08,1.81,105.1,93.09,1.12,5.31,0.5,0.0,-13.0,,,2.8,HIGH,0.96,7.31,False,0.576,0.04,0.0,,NO_CONSENSUS
Sandy Alcantara,MIA,SP,SP,zyoung51,Active,30.0,251.0,11.95,11.95,99.0,93.0,21.0,1.0,94.21,35.24,-58.97,11.95,3.68,136.2,99.91,1.23,7.07,0.71,0.0,0.0,,,7.5,HIGH,1.0,8.26,False,0.6,0.0,0.0,-33.0,SELL_HIGH
Jordan Walker,STL,OF,H,kyfaess,Active,24.0,332.5,3.46,3.46,96.0,12.0,96.1,1.0,94.19,77.95,-16.24,3.46,1.01,,,,,,0.0,12.0,,,68.7,HIGH,0.94,2.22,False,0.564,0.06,0.0,,NO_CONSENSUS
Eduardo Rodriguez,ARI,SP,SP,zyoung51,Active,33.0,256.0,12.8,12.8,92.0,82.0,20.0,1.0,94.11,32.52,-61.59,12.8,4.53,116.2,98.53,1.22,6.35,0.6,0.0,-6.0,,,0.8,HIGH,0.9,8.17,False,0.54,0.1,0.0,,NO_CONSENSUS
Nick Kurtz,ATH,1B,H,Jpanner,Active,23.0,314.0,3.41,3.41,100.0,20.0,92.08,1.0,94.04,94.47,0.42,3.41,0.96,,,,,,0.0,12.0,,,99.2,HIGH,0.77,3.48,False,0.462,0.23,0.0,2.5,ALIGNED
Otto Lopez,MIA,SS,H,CLANK,Active,27.0,322.5,3.29,3.29,98.0,16.0,98.02,1.0,93.9,70.76,-23.14,3.29,0.84,,,,,,0.0,6.0,,,61.9,HIGH,1.0,2.58,False,0.6,0.0,0.0,,NO_CONSENSUS
Kevin McGonigle,DET,"3B,SS",H,Coop,Active,21.0,304.5,3.17,3.17,98.0,26.0,96.06,1.0,93.77,94.92,1.15,3.17,0.72,,,,,,0.0,17.0,,,95.6,LOW,0.29,2.83,False,0.174,0.71,0.0,10.3,ALIGNED
Matt Olson,ATL,1B,H,zyoung51,Active,32.0,325.5,3.32,3.32,100.0,15.0,98.04,1.0,93.74,65.28,-28.46,3.32,0.87,,,,,,0.0,-5.0,,,59.9,HIGH,1.0,2.99,False,0.6,0.0,0.0,-19.4,SELL_HIGH
Bryan Reynolds,PIT,OF,H,GoldTY,Active,31.0,331.5,3.31,3.31,99.0,13.0,100.15,1.0,93.61,48.65,-44.96,3.31,0.86,,,,,,0.0,0.0,,,29.0,HIGH,1.0,2.59,False,0.6,0.0,0.0,26.3,BUY_LOW
Sal Stewart,CIN,"1B,3B",H,Coop,Active,22.0,312.0,3.18,3.18,99.0,21.0,98.11,1.0,93.39,90.95,-2.44,3.18,0.73,,,,,,0.0,12.0,,,94.8,MED,0.37,2.85,False,0.222,0.63,0.0,36.9,BUY_LOW
Sean Burke,CHW,SP,SP,Greenbet,Active,26.0,252.0,12.6,12.6,88.0,91.0,20.0,1.0,93.3,52.08,-41.22,12.6,4.33,112.1,96.72,1.13,9.63,0.35,0.0,5.0,,,21.0,HIGH,0.78,8.81,False,0.468,0.22,0.0,,NO_CONSENSUS
Nathan Eovaldi,TEX,SP,SP,zyoung51,Active,36.0,227.0,11.95,11.95,99.0,136.0,19.0,1.0,93.18,34.27,-58.9,11.95,3.68,115.1,98.19,1.21,9.54,0.53,0.0,-13.0,,,15.5,HIGH,1.0,14.89,False,0.6,0.0,0.0,-1.9,ALIGNED
Reid Detmers,LAA,"SP,RP",SP/RP,Coop,Active,27.0,219.0,10.95,9.65,89.0,155.0,20.0,0.83,93.08,37.24,-55.83,9.65,1.38,114.2,97.67,1.12,10.25,0.4,0.0,5.0,,,4.8,HIGH,0.93,4.16,False,0.558,0.07,0.0,,NO_CONSENSUS
