"Standings"
"Rk","Team","W","L","T","Win%","GB","FPtsF","FPtsA","Streak"
"1","zyoung510","12","4","0",".750","0","4,901.5","4,280.5","1 (W)"
"2","Merkle x Owen","12","4","0",".750","0","4,483","3,580.5","9 (W)"
"3","Former Players II","10","6","0",".625","2","4,463","4,186","1 (L)"
"4","Kenny's Retirement Home","9","7","0",".562","3","4,541.5","4,269","1 (W)"
"5","joeybats5","9","7","0",".562","3","4,326.5","4,228","1 (W)"
"6","Clankas","9","7","0",".562","3","4,000.5","4,413.5","1 (L)"
"7","Tommy Hustle","8","8","0",".500","4","4,793.5","4,647","2 (L)"
"8","Tucker? I hardly know her","8","8","0",".500","4","4,633","4,428.5","1 (W)"
"9","Backyard Buntsmokers","8","8","0",".500","4","4,280","4,409","1 (L)"
"10","Seth x Simon","8","8","0",".500","4","4,231","4,288.5","4 (W)"
"11","Dirtbags","6","10","0",".375","6","4,216","4,312.5","1 (L)"
"12","Sandlot Sluggers","6","10","0",".375","6","3,779","4,362.5","1 (W)"
"13","Greenbeto_20","4","12","0",".250","8","3,687.5","4,530","1 (L)"
"14","The Hot Tub Whalers","3","13","0",".188","9","4,065.5","4,466","10 (L)"

"Scoring Period 17"
"Away","FPts","Home","FPts"
"Dirtbags","239.5","Seth x Simon","198"
"Kenny's Retirement Home","230","Backyard Buntsmokers","218.5"
"Greenbeto_20","223.5","zyoung510","317"
"Clankas","113","The Hot Tub Whalers","165"
"Tommy Hustle","249","joeybats5","194.5"
"Former Players II","175.5","Merkle x Owen","246"
"Tucker? I hardly know her","226.5","Sandlot Sluggers","74.5"

"Scoring Period 16"
"Away","FPts","Home","FPts"
"Seth x Simon","359.5","Backyard Buntsmokers","325.5"
"zyoung510","414.5","Dirtbags","313.5"
"The Hot Tub Whalers","391.5","Kenny's Retirement Home","452.5"
"joeybats5","408","Greenbeto_20","294.5"
"Merkle x Owen","400.5","Clankas","0"
"Sandlot Sluggers","379.5","Tommy Hustle","331"
"Tucker? I hardly know her","485.5","Former Players II","440"

