date,partner,sent,received,outcome,note
2026-07-20,kyfaess,"Tanner Scott, Sonny Gray","Mike Sirota, Zebby Matthews / Brandon Pfaadt",opened,"Former Players II opened, targeting my aging win-now arms (Scott closer + Gray ace) -- reads as a win-now pitching pivot (kyfaess is future#3 but chasing now). Anchor came in as 'Sirota + Matthews OR Pfaadt', floating replacement-level Pfaadt (6dy, Not On Team) as if interchangeable with Matthews (50dy) -- testing whether I'd accept the low end. My plan: hold at Matthews, reject Pfaadt version, counter for a small add-on (Matthews variant only nets +1 by my posture)."
2026-07-20,kyfaess,"Tanner Scott, Sonny Gray","Luis Pena, Zebby Matthews, Mike Sirota",countered,"Countered his open by anchoring high: asked his #1 prospect Luis Pena (19yo SS, MLB #16 overall, 84dy) + Matthews + Sirota for Scott+Gray. Pena is likely priced ABOVE two aging rentals, so expect him to push back -- planned landing spot is Gillen (#40, 76dy) swapped in for Pena, which still grades ~+62 to us. Fallback ladder if he balks on Gillen too: Steele Hall / Cooper Pratt (67dy) or a deep-minors arm (Sykora/Scarborough). Hold Matthews as non-negotiable; do NOT let it slide back toward Pfaadt or the bare Sirota+Matthews (+1). Awaiting his response."
2026-07-20,kyfaess,"Sonny Gray, Tanner Scott","Mike Sirota, Zebby Matthews, Travis Sykora",countered,"Countered his Roupp+Sykora reframe (which used my Max Meyer IL as a 'beef up your pitching' hook -- irrelevant to a rebuild, and it graded -11 to me). Declined Roupp (27yo win-now arm, 36dy, wasted on us), pulled back to his own original Sirota+Matthews and added Sykora on top since he'd already volunteered him. KEY: Sykora is undervalued by our engine (generic 64, unranked in our file) -- web check shows he's a real Top-50 overall prospect (MLB #37-49, FB to 101, dominant MiLB) currently on a Tommy John discount (out until ~2H2026). For a rebuild that injury discount is a buy-low, not a red flag. Deal grades +53 to us. His revealed stance: won't move MiLB HITTERS at our valuation, but pays freely in PITCHING (12 healthy arms + 5 hurt + 4 minors). If he balks on 3-for-2, clean Sirota+Matthews (+1) is the fallback close. Note: this is 3-for-2 -> owe 1 roster drop, bottom = Tony Santillan (my call)."
2026-07-20,kyfaess,"Sonny Gray, Tanner Scott","Mike Sirota, Zebby Matthews",accepted,"CLOSED. Final: Gray + Scott for Sirota + Matthews (2-for-2, no drop). Landed at his original offer after he drew a firm line on adding prospects (declined Sykora/Gillen/Pena adds; would only pay extra in win-now arms like Roupp, which don't fit our rebuild). On-posture sell: two depreciating arms (Gray almost 37; Scott losing LAD saves to Diaz) for a league-fit OBP/speed OF prospect (Sirota, he rates consensus top-10; walks~=Ks, plus speed, power breakout mid on-base streak) + 26yo MLB SP (Matthews). +1 by posture / +29 raw dynasty. PARTNER READ for next time: reasonable, engaged, initiates; protects MiLB HITTERS hard (thinks we underrate them, admits his valuations may skew young); pays freely from a deep PITCHING surplus (12 healthy + 5 IL + 4 minors). To deal again: target his arm depth, not his bats."
2026-07-28,Sasso,"William Contreras, Felnin Celesten","Jacob Wilson, Dylan Crews, Kyson Witherspoon",accepted,"CLOSED. Contreras (28yo C) + Celesten (20yo SS prospect) for Jacob Wilson (24yo MLB SS, our dyn 78) + Dylan Crews (24yo OF) + Kyson Witherspoon (21yo SP prospect, Red Sox #4). Graded +61 to us / engine had Sasso overpaying -59. On-posture rebuild sell: swapped a 28yo catcher for a YOUNGER, higher-dynasty everyday SS plus two young assets. PROCESS NOTE: he opened wanting Contreras for Wilson+Crews, wouldn't do straight up, needed a prospect add. He targeted SIROTA specifically (our just-acquired league-fit OBP OF) and pushed hard -- even floated Jhonny Level (SF SS, our #61/dyn66.5) as an 'upgrade' to pry him. HELD Sirota (our engine: Sirota 72/#39 > Level 66.5/#61; also SS surplus, Sirota our only real OF prospect, perfect OBP-league fit). Steered him onto a fair-value menu (Nimmala/Celesten/Farmelo, all ~=Witherspoon 66.7); he chose Celesten. Note Celesten was surging (Pipeline ~#70, our file stale at #98) but still tier-fair and genuine SS surplus. Owe 1 roster drop (net +1); engine bottom = Tyron Guerrero (my call). PARTNER READ: engaged, agreeable, initiates, flexible on prospect identity but COVETS our young OF prospects -- willing to overpay from his young-SS/OF depth (Wilson, Crews) + arms (Witherspoon) to get one. To deal again: he's a buyer of our win-now vets; protect Sirota, deal him middle-infield prospects where we're stacked."
2026-08-09,joeybats,Nick Martinez,,opened,"I OPENED (deadline 2026-08-12, 3 days out). Shopped Martinez (36yo SP/RP, win 97 / dyn 27, worth only 41 to us in rebuild) to joeybats and JMerkle simultaneously, and told each I was talking to multiple teams -- with 72 hours there's no time to let them bid against each other naturally, so competition had to be manufactured. WHY JOEYBATS: biggest genuine rotation hole among actual buyers -- his #6 starter grades 67.5, so Martinez is a +29.5 upgrade, the largest in the league among teams with a winning record (9-7, appetite 0.62). Note the outbound scanner KILLED his construction, but that was on the specific package it built, not on his need -- do not read that as disinterest. TARGET: Kyle Harrison (24, SP) cleared our bar at +41. Asking him to name his own piece rather than naming it ourselves, so his bid prices Martinez instead of revealing our low internal number. TRAP AVOIDED: zyoung51 has the league's top appetite (0.81, 12-4) and looks like the obvious call, but his #6 starter is already 91.9 -- Martinez upgrades him by 5, so he'd never pay. Awaiting response."
2026-08-09,JMerkle,Nick Martinez,,opened,"I OPENED (deadline 2026-08-12, 3 days out), same time as joeybats, both told there are multiple teams in it. WHY JMERKLE: best record in the league at 12-4 with appetite 0.78 AND a real rotation hole -- his #6 starter is 72.2, so Martinez is a +24.8 upgrade. He was the ONLY partner in the whole 13-team outbound scan where a full construction survived the gauntlet; every other team's died on either their SP need or our value. Deepest set of young pieces of any buyer. PLAN: anchor high on Cam Schlittler (25, SP, win 99 / dyn 83, 457 FPts) but do NOT expect to land him -- model says JMerkle overpays 14 to make that, and no contender swaps a 25yo ace-track arm for a 36yo. Realistic landing spot is Hunter Goodman (26, C, win 91 / dyn 76, 322 FPts, HIGH asset confidence) or Colson Montgomery (24, 3B/SS, dyn 84, MED). GOODMAN IS THE ONE TO CHASE: he fills our only real positional hole -- Joe Mack is our weakest starter at 10.6 EWP, win 54, 135 FPts -- and he is the best-validated name on the board. Chase DeLauter grades similarly but carries LOW asset confidence, so treat his dyn 84 as soft. MUST VERIFY BEFORE ACCEPTING: Goodman's OBP/contact fit -- he is a Coors power catcher and our league pays for on-base; dynasty score is league-agnostic, ours is not. HELD BACK: refused to bundle Arozarena (31, dyn 64) even though the scanner kept pairing them -- he is a separate sell and packaging lets one buyer pay once for two assets. Awaiting response."
2026-08-09,KRetiree,Nick Martinez,,opened,"I OPENED (deadline 2026-08-12), third of three simultaneous approaches alongside joeybats and JMerkle -- all told there are multiple teams in it. WHY KRETIREE: legitimate third bidder, 9-7 with appetite 0.65 and a #6 starter at 79.5, so Martinez is a +17.5 rotation upgrade. Smaller need than joeybats (+29.5) or JMerkle (+24.8), so expect a lower bid -- his real value here is as the third name that keeps the other two honest. His construction also survived the outbound gauntlet, one of only two that did. TARGET: Riley Greene (25, OF) cleared our bar at +39, though OF is depth for us not need (5 OF for ~3 slots), so a bat that fills C or 1B would be worth more even at slightly lower raw value. Same approach as the others: let him name his own piece so his bid prices Martinez rather than us revealing that Martinez is worth only 41 internally. Awaiting response."
2026-08-10,joeybats,Nick Martinez,"Edward Florentino, Jonah Tong",accepted,"CLOSED (deadline 2026-08-12). Final: Martinez (36yo SP/RP, win 97 / dyn 27, worth only 41 to us) for Edward Florentino (19yo OF, dyn 78, MLB #28) + Jonah Tong (23yo SP, dyn 69, MLB #75). Grades +80 to us / +3 to him -- he landed within 3 points of neutral, so this was near his true ceiling. Textbook rebuild sell: a 36yo rental converted into two Top-100 prospects. PROCESS: opened asking Duno (C, #23) or Hope (OF, #25); he said 'those prices are a bit too high for a 36 year old rental-ish' and countered Florentino. KEY EXPLOITABLE GAP -- he treated Florentino as a step DOWN from Duno/Hope, but our engine has Florentino dyn 78 = Hope and ABOVE Duno (77), and Florentino is 2 years younger. His prospect ordering differs from ours; when he 'negotiates down' check whether he actually has. Tried 2-for-2 adding Ryan Clifford as a roster-neutral sweetener; he refused and called Clifford 'very disappointing' -- he scouts OUR roster, do not try to pass off filler. Asked for Briceno as a 2nd piece; he declined with a CORRECT argument (Dingler has the DET job, Briceno moves to 1B, loses C eligibility) -- conceded it rather than fight, which is what kept him engaged. He then volunteered ARMS instead: took Tong (#75, real Top-100), declined Pecko (unranked, dyn 47, below our 41 bar -- he was offering a choice, not two pieces). PARTNER READ: sharp, engaged, argues real baseball and is often right; PROTECTS HIS BATS ('my other bats are pretty high value for this type of deal') but pays freely from PROSPECT ARM depth while keeping his MLB rotation -- he was a starter short (only 5 startable SP for 6 slots, #6 graded 67.5) and needed innings NOW. To deal again: target his minor-league arms and his catcher surplus (Duno/Jeffers/Alvarez), do not bother asking for bats, and do not send him filler."
2026-08-10,Sasso,,Trey Yesavage,opened,"HE INITIATED (2026-08-10, deadline 8/12) -- asked if we wanted Trey Yesavage or Noah Schultz. I asked what he has in mind for Yesavage; awaiting his ask. WANT YESAVAGE: 23yo TOR SP, win 86 AND dyn 78, already producing (190 FPts, 93.2 IP, 1.15 WHIP, 8.79 K/9). Rare dual-purpose piece -- unlike every prospect we chased today (Florentino/Tong/Duno all ~0 win-now), he helps now AND later. He is Sasso's FOURTH starter behind Cease (99), Yamamoto (99), Fried (90), with 10 startable SP total -- genuine surplus, not a dump. DECLINE SCHULTZ, AND DO NOT EXPLAIN WHY: Noah Schultz was overall #24 in our prospect file THIS MORNING and fell out of the Top 100 entirely in today's Pipeline refresh (dyn now 36.2, win 30). Our file is hours old; his information may not be. That asymmetry is an edge -- just say we're not looking for Schultz. PLANNED SEND: Randy Arozarena (31yo OF, win 92 / dyn 64) -- already our next sell after Martinez; grades +10 to us with the model showing Sasso OVERPAYING 7. Moniak grades better (+14, he overpays 13) but Arozarena is the piece we actually want gone. HOLD Lindor (32 but dyn 72, still anchors the infield). His OF is the thinner side of his roster (6 bodies, drops off after Antonacci/Happ), so an OF back fits. OPEN QUESTION TO RESOLVE: Sasso holds the #1 FUTURE in the league, so a future-focused team moving a 23yo dyn-78 arm for a 31yo is odd -- either he is pivoting to win-now or he rates Yesavage below our engine. Ask what he is after before assuming the model's read is his. PRIOR: 2026-07-28 he overpaid us +61 (Contreras+Celesten for Wilson+Crews+Witherspoon); reads as engaged, agreeable, flexible, covets young OF."
