"last_name, first_name",mlbam_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,name,fetched
"Crow-Armstrong, Pete",691718,2026,692,421,0.28,0.264,0.016,0.576,0.513,0.0629999999999999,0.402,0.376,0.026,Pete Crow-Armstrong,2026-09-19
"Bregman, Alex",608324,2026,686,501,0.262,0.249,0.013,0.454,0.383,0.071,0.352,0.322,0.0299999999999999,Alex Bregman,2026-09-19
"Herrera, Iván",671056,2026,682,454,0.242,0.247,-0.005,0.373,0.374,-0.001,0.327,0.331,-0.004,Iván Herrera,2026-09-19
"Henderson, Gunnar",683002,2026,678,455,0.224,0.245,-0.0209999999999999,0.399,0.397,0.002,0.311,0.32,-0.009,Gunnar Henderson,2026-09-19
"Busch, Michael",683737,2026,676,420,0.236,0.23,0.0059999999999999,0.391,0.399,-0.008,0.331,0.33,0.001,Michael Busch,2026-09-19
"McGonigle, Kevin",805808,2026,674,487,0.277,0.268,0.009,0.428,0.45,-0.022,0.358,0.361,-0.003,Kevin McGonigle,2026-09-19
"Tatis Jr., Fernando",665487,2026,674,481,0.285,0.296,-0.011,0.461,0.495,-0.0339999999999999,0.353,0.377,-0.024,Fernando Tatis Jr.,2026-09-19
"Reynolds, Bryan",668804,2026,672,421,0.263,0.253,0.01,0.427,0.445,-0.018,0.351,0.354,-0.003,Bryan Reynolds,2026-09-19
"Vargas, Miguel",678246,2026,671,451,0.249,0.265,-0.016,0.477,0.502,-0.025,0.361,0.378,-0.017,Miguel Vargas,2026-09-19
"Alonso, Pete",624413,2026,670,420,0.267,0.283,-0.0159999999999999,0.506,0.546,-0.04,0.373,0.395,-0.022,Pete Alonso,2026-09-19
"Caminero, Junior",691406,2026,669,464,0.277,0.272,0.005,0.533,0.497,0.036,0.381,0.364,0.017,Junior Caminero,2026-09-19
"Olson, Matt",621566,2026,667,434,0.253,0.248,0.005,0.509,0.507,0.002,0.356,0.354,0.002,Matt Olson,2026-09-19
"Neto, Zach",687263,2026,666,388,0.24,0.214,0.0259999999999999,0.438,0.408,0.03,0.334,0.312,0.022,Zach Neto,2026-09-19
"Stewart, Sal",701398,2026,665,456,0.271,0.259,0.012,0.476,0.475,0.001,0.35,0.348,0.002,Sal Stewart,2026-09-19
"Schwarber, Kyle",656941,2026,664,346,0.235,0.237,-0.002,0.513,0.494,0.019,0.37,0.364,0.006,Kyle Schwarber,2026-09-19
"Turner, Trea",607208,2026,663,475,0.239,0.241,-0.002,0.379,0.365,0.014,0.296,0.292,0.004,Trea Turner,2026-09-19
"Díaz, Yandy",650490,2026,660,500,0.293,0.281,0.0119999999999999,0.451,0.441,0.01,0.352,0.347,0.005,Yandy Díaz,2026-09-19
"Bichette, Bo",666182,2026,658,492,0.263,0.278,-0.015,0.388,0.415,-0.0269999999999999,0.308,0.325,-0.017,Bo Bichette,2026-09-19
"Harper, Bryce",547180,2026,657,409,0.272,0.272,0.0,0.494,0.487,0.007,0.381,0.383,-0.002,Bryce Harper,2026-09-19
"Hoerner, Nico",663538,2026,657,552,0.263,0.298,-0.0349999999999999,0.353,0.376,-0.023,0.298,0.321,-0.023,Nico Hoerner,2026-09-19
"Lopez, Otto",672640,2026,654,525,0.307,0.282,0.025,0.441,0.42,0.021,0.343,0.327,0.016,Otto Lopez,2026-09-19
"Alvarez, Yordan",670541,2026,654,425,0.313,0.318,-0.005,0.601,0.64,-0.039,0.427,0.443,-0.016,Yordan Alvarez,2026-09-19
"Albies, Ozzie",645277,2026,653,505,0.244,0.228,0.0159999999999999,0.406,0.349,0.057,0.307,0.281,0.0259999999999999,Ozzie Albies,2026-09-19
"Abreu, Wilyer",677800,2026,653,447,0.252,0.256,-0.004,0.455,0.476,-0.0209999999999999,0.34,0.35,-0.0099999999999999,Wilyer Abreu,2026-09-19
"Turang, Brice",668930,2026,650,399,0.266,0.256,0.01,0.441,0.427,0.014,0.356,0.346,0.01,Brice Turang,2026-09-19
"Burleson, Alec",676475,2026,645,471,0.283,0.292,-0.009,0.469,0.52,-0.051,0.354,0.376,-0.022,Alec Burleson,2026-09-19
"Machado, Manny",592518,2026,644,433,0.219,0.246,-0.0269999999999999,0.409,0.424,-0.015,0.313,0.333,-0.02,Manny Machado,2026-09-19
"Aranda, Jonathan",666018,2026,644,415,0.277,0.258,0.019,0.436,0.442,-0.006,0.349,0.346,0.003,Jonathan Aranda,2026-09-19
"Perdomo, Geraldo",672695,2026,643,468,0.254,0.258,-0.004,0.363,0.346,0.017,0.329,0.329,0.0,Geraldo Perdomo,2026-09-19
"Carroll, Corbin",682998,2026,638,415,0.24,0.251,-0.011,0.473,0.451,0.0219999999999999,0.345,0.344,0.001,Corbin Carroll,2026-09-19
"Merrill, Jackson",701538,2026,636,443,0.256,0.272,-0.016,0.448,0.498,-0.0499999999999999,0.324,0.351,-0.0269999999999999,Jackson Merrill,2026-09-19
"Arozarena, Randy",668227,2026,635,413,0.281,0.259,0.022,0.48,0.418,0.062,0.376,0.347,0.029,Randy Arozarena,2026-09-19
"Walker, Jordan",691023,2026,634,420,0.279,0.267,0.012,0.481,0.467,0.0139999999999999,0.353,0.344,0.009,Jordan Walker,2026-09-19
"Arraez, Luis",650333,2026,634,568,0.313,0.287,0.026,0.425,0.375,0.0499999999999999,0.335,0.307,0.028,Luis Arraez,2026-09-19
"Rice, Ben",700250,2026,633,395,0.264,0.267,-0.003,0.534,0.511,0.023,0.384,0.378,0.006,Ben Rice,2026-09-19
"Devers, Rafael",646240,2026,633,401,0.258,0.238,0.02,0.525,0.473,0.052,0.367,0.342,0.0249999999999999,Rafael Devers,2026-09-19
"Freeman, Freddie",518692,2026,628,449,0.293,0.29,0.003,0.442,0.465,-0.023,0.355,0.366,-0.011,Freddie Freeman,2026-09-19
"Nimmo, Brandon",607043,2026,627,430,0.26,0.269,-0.009,0.408,0.448,-0.04,0.322,0.343,-0.021,Brandon Nimmo,2026-09-19
"Lowe, Brandon",664040,2026,625,382,0.261,0.238,0.023,0.489,0.43,0.059,0.353,0.326,0.0269999999999999,Brandon Lowe,2026-09-19
"Lile, Daylen",695734,2026,624,457,0.25,0.257,-0.007,0.435,0.444,-0.009,0.318,0.326,-0.008,Daylen Lile,2026-09-19
"Adell, Jo",666176,2026,624,424,0.24,0.258,-0.018,0.402,0.442,-0.0399999999999999,0.305,0.327,-0.022,Jo Adell,2026-09-19
"Rodríguez, Julio",677594,2026,623,431,0.241,0.264,-0.023,0.394,0.438,-0.0439999999999999,0.305,0.333,-0.028,Julio Rodríguez,2026-09-19
"Paredes, Isaac",670623,2026,623,454,0.259,0.244,0.015,0.43,0.365,0.065,0.348,0.319,0.0289999999999999,Isaac Paredes,2026-09-19
"Abrams, CJ",682928,2026,621,405,0.264,0.247,0.017,0.493,0.428,0.065,0.357,0.329,0.0279999999999999,CJ Abrams,2026-09-19
"Meidroth, Chase",805367,2026,621,419,0.269,0.234,0.035,0.399,0.339,0.06,0.331,0.295,0.036,Chase Meidroth,2026-09-19
