"last_name, first_name",mlbam_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,name,fetched
"Bregman, Alex",608324,2026,620,449,0.258,0.245,0.013,0.44,0.377,0.063,0.344,0.317,0.0269999999999999,Alex Bregman,2026-09-01
"Crow-Armstrong, Pete",691718,2026,618,375,0.282,0.259,0.0229999999999999,0.573,0.497,0.0759999999999999,0.403,0.369,0.034,Pete Crow-Armstrong,2026-09-01
"Henderson, Gunnar",683002,2026,614,416,0.223,0.245,-0.0219999999999999,0.407,0.399,0.0079999999999999,0.312,0.319,-0.007,Gunnar Henderson,2026-09-01
"Busch, Michael",683737,2026,613,382,0.239,0.23,0.0089999999999999,0.391,0.399,-0.008,0.332,0.33,0.002,Michael Busch,2026-09-01
"Herrera, Iván",671056,2026,612,407,0.243,0.247,-0.004,0.375,0.372,0.003,0.33,0.33,0.0,Iván Herrera,2026-09-01
"Reynolds, Bryan",668804,2026,601,369,0.262,0.248,0.014,0.421,0.432,-0.011,0.351,0.349,0.002,Bryan Reynolds,2026-09-01
"Olson, Matt",621566,2026,600,387,0.256,0.25,0.006,0.523,0.519,0.004,0.364,0.36,0.004,Matt Olson,2026-09-01
"Tatis Jr., Fernando",665487,2026,600,430,0.281,0.296,-0.0149999999999999,0.438,0.482,-0.0439999999999999,0.342,0.373,-0.0309999999999999,Fernando Tatis Jr.,2026-09-01
"Stewart, Sal",701398,2026,599,408,0.266,0.257,0.009,0.489,0.484,0.005,0.354,0.351,0.003,Sal Stewart,2026-09-01
"McGonigle, Kevin",805808,2026,598,432,0.274,0.263,0.011,0.415,0.436,-0.021,0.352,0.353,-0.001,Kevin McGonigle,2026-09-01
"Alonso, Pete",624413,2026,598,377,0.268,0.284,-0.0159999999999999,0.5,0.545,-0.045,0.371,0.392,-0.021,Pete Alonso,2026-09-01
"Caminero, Junior",691406,2026,597,415,0.282,0.273,0.0089999999999999,0.536,0.497,0.039,0.385,0.365,0.02,Junior Caminero,2026-09-01
"Vargas, Miguel",678246,2026,596,398,0.249,0.269,-0.02,0.488,0.519,-0.031,0.368,0.389,-0.021,Miguel Vargas,2026-09-01
"Alvarez, Yordan",670541,2026,596,391,0.318,0.326,-0.008,0.607,0.661,-0.054,0.43,0.452,-0.022,Yordan Alvarez,2026-09-01
"Neto, Zach",687263,2026,595,349,0.236,0.208,0.0279999999999999,0.432,0.403,0.0289999999999999,0.329,0.306,0.023,Zach Neto,2026-09-01
"Turner, Trea",607208,2026,593,422,0.241,0.242,-0.001,0.378,0.363,0.015,0.297,0.292,0.005,Trea Turner,2026-09-01
"Hoerner, Nico",663538,2026,592,492,0.263,0.3,-0.0369999999999999,0.362,0.377,-0.015,0.303,0.325,-0.022,Nico Hoerner,2026-09-01
"Schwarber, Kyle",656941,2026,592,305,0.243,0.238,0.005,0.524,0.495,0.029,0.377,0.364,0.013,Kyle Schwarber,2026-09-01
