"last_name, first_name",mlbam_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff,name,fetched
"Alcantara, Sandy",645261,2026,861,645,0.247,0.252,-0.005,0.387,0.382,0.005,0.305,0.305,0.0,3.85,3.9,-0.055,Sandy Alcantara,2026-09-17
"Sánchez, Cristopher",650911,2026,805,539,0.258,0.237,0.021,0.372,0.364,0.008,0.299,0.286,0.013,2.93,3.4,-0.472,Cristopher Sánchez,2026-09-17
"Wacha, Michael",608379,2026,760,555,0.226,0.24,-0.0139999999999999,0.406,0.403,0.003,0.3,0.305,-0.005,3.34,3.9,-0.561,Michael Wacha,2026-09-17
"Baz, Shane",669358,2026,742,524,0.263,0.252,0.011,0.401,0.397,0.004,0.318,0.315,0.003,4.11,4.18,-0.07,Shane Baz,2026-09-17
"Rodriguez, Eduardo",593958,2026,736,542,0.236,0.252,-0.016,0.367,0.413,-0.0459999999999999,0.295,0.317,-0.022,2.62,4.24,-1.616,Eduardo Rodriguez,2026-09-17
"Bibee, Tanner",676440,2026,730,530,0.235,0.249,-0.014,0.405,0.417,-0.0119999999999999,0.307,0.318,-0.011,4.16,4.27,-0.108,Tanner Bibee,2026-09-17
"Gausman, Kevin",592332,2026,728,504,0.258,0.249,0.009,0.418,0.407,0.011,0.315,0.308,0.007,4.55,3.98,0.572,Kevin Gausman,2026-09-17
"Luzardo, Jesús",666200,2026,727,443,0.215,0.204,0.011,0.33,0.304,0.026,0.275,0.262,0.013,2.87,2.84,0.031,Jesús Luzardo,2026-09-17
"Schlittler, Cam",693645,2026,722,442,0.185,0.207,-0.0219999999999999,0.303,0.331,-0.028,0.243,0.263,-0.02,1.95,2.86,-0.911,Cam Schlittler,2026-09-17
"Gore, MacKenzie",669022,2026,720,472,0.243,0.242,0.001,0.401,0.381,0.02,0.319,0.311,0.008,4.67,4.07,0.602,MacKenzie Gore,2026-09-17
"Kirby, George",669923,2026,718,528,0.286,0.265,0.0209999999999999,0.443,0.41,0.033,0.338,0.315,0.023,4.24,4.18,0.064,George Kirby,2026-09-17
"Valdez, Framber",664285,2026,713,518,0.258,0.261,-0.003,0.376,0.39,-0.014,0.317,0.323,-0.006,4.01,4.42,-0.406,Framber Valdez,2026-09-17
"Gilbert, Logan",669302,2026,713,466,0.219,0.227,-0.008,0.405,0.386,0.019,0.297,0.294,0.003,3.69,3.61,0.081,Logan Gilbert,2026-09-17
"King, Michael",650633,2026,711,484,0.215,0.24,-0.0249999999999999,0.343,0.406,-0.063,0.291,0.323,-0.032,3.03,4.42,-1.386,Michael King,2026-09-17
"Messick, Parker",800048,2026,711,474,0.211,0.222,-0.011,0.347,0.339,0.0079999999999999,0.27,0.273,-0.003,2.57,3.09,-0.516,Parker Messick,2026-09-17
"Lugo, Seth",607625,2026,709,523,0.29,0.277,0.0129999999999999,0.464,0.45,0.014,0.352,0.343,0.0089999999999999,4.99,5.06,-0.066,Seth Lugo,2026-09-17
"Soriano, José",667755,2026,706,468,0.23,0.248,-0.0179999999999999,0.334,0.387,-0.0529999999999999,0.295,0.322,-0.027,3.56,4.39,-0.829,José Soriano,2026-09-17
"Williams, Gavin",668909,2026,705,408,0.212,0.219,-0.007,0.381,0.394,-0.013,0.293,0.3,-0.007,3.78,3.77,0.006,Gavin Williams,2026-09-17
"Abbott, Andrew",671096,2026,701,499,0.258,0.264,-0.006,0.429,0.437,-0.008,0.335,0.341,-0.006,4.7,5.0,-0.302,Andrew Abbott,2026-09-17
"Detmers, Reid",672282,2026,697,446,0.214,0.217,-0.003,0.341,0.359,-0.0179999999999999,0.27,0.279,-0.009,3.36,3.23,0.132,Reid Detmers,2026-09-17
"Bradley, Taj",671737,2026,697,431,0.217,0.226,-0.009,0.374,0.381,-0.007,0.301,0.308,-0.007,3.81,3.98,-0.17,Taj Bradley,2026-09-17
"McLean, Nolan",690997,2026,695,430,0.214,0.222,-0.008,0.339,0.343,-0.004,0.291,0.298,-0.007,3.24,3.71,-0.47,Nolan McLean,2026-09-17
"Griffin, Foster",656492,2026,693,487,0.243,0.259,-0.016,0.406,0.414,-0.0079999999999999,0.311,0.32,-0.009,3.67,4.33,-0.658,Foster Griffin,2026-09-17
"Cameron, Noah",702070,2026,692,486,0.233,0.243,-0.0099999999999999,0.378,0.395,-0.017,0.296,0.306,-0.01,3.84,3.93,-0.088,Noah Cameron,2026-09-17
"Nola, Aaron",605400,2026,690,468,0.265,0.24,0.025,0.482,0.413,0.069,0.347,0.311,0.0359999999999999,4.69,4.07,0.616,Aaron Nola,2026-09-17
"Cavalli, Cade",676917,2026,687,429,0.233,0.232,0.001,0.356,0.363,-0.007,0.295,0.298,-0.003,3.12,3.71,-0.595,Cade Cavalli,2026-09-17
"Ray, Robbie",592662,2026,685,462,0.225,0.244,-0.0189999999999999,0.383,0.419,-0.0359999999999999,0.313,0.334,-0.021,3.6,4.77,-1.166,Robbie Ray,2026-09-17
"Peralta, Freddy",642547,2026,685,473,0.249,0.235,0.014,0.422,0.376,0.0459999999999999,0.326,0.303,0.023,4.67,3.85,0.821,Freddy Peralta,2026-09-17
"Singer, Brady",663903,2026,683,489,0.283,0.275,0.0079999999999999,0.48,0.461,0.0189999999999999,0.364,0.353,0.011,5.38,5.41,-0.034,Brady Singer,2026-09-17
"Kelly, Merrill",518876,2026,683,498,0.27,0.291,-0.0209999999999999,0.47,0.514,-0.044,0.354,0.38,-0.026,5.0,6.44,-1.442,Merrill Kelly,2026-09-17
"Imanaga, Shota",684007,2026,683,476,0.234,0.235,-0.0009999999999999,0.433,0.409,0.024,0.31,0.301,0.009,3.8,3.79,0.006,Shota Imanaga,2026-09-17
"Martinez, Nick",607259,2026,682,554,0.245,0.265,-0.02,0.392,0.415,-0.0229999999999999,0.29,0.309,-0.019,2.94,4.01,-1.068,Nick Martinez,2026-09-17
"Yamamoto, Yoshinobu",808967,2026,682,457,0.18,0.211,-0.031,0.307,0.334,-0.027,0.241,0.266,-0.025,2.51,2.93,-0.416,Yoshinobu Yamamoto,2026-09-17
"Burke, Sean",680732,2026,669,429,0.226,0.23,-0.004,0.383,0.374,0.009,0.303,0.302,0.001,3.47,3.82,-0.354,Sean Burke,2026-09-17
"Bradish, Kyle",680694,2026,669,454,0.264,0.245,0.019,0.433,0.403,0.0299999999999999,0.34,0.324,0.016,4.12,4.45,-0.327,Kyle Bradish,2026-09-17
"Kay, Anthony",641743,2026,669,471,0.256,0.262,-0.006,0.42,0.415,0.005,0.337,0.34,-0.003,4.41,4.96,-0.551,Anthony Kay,2026-09-17
"Webb, Logan",657277,2026,668,481,0.24,0.259,-0.019,0.356,0.386,-0.03,0.292,0.311,-0.019,4.31,4.07,0.243,Logan Webb,2026-09-17
"Cease, Dylan",656302,2026,668,357,0.178,0.19,-0.012,0.268,0.286,-0.0179999999999999,0.249,0.26,-0.011,2.38,2.79,-0.409,Dylan Cease,2026-09-17
"Ashcraft, Braxton",677952,2026,667,452,0.235,0.232,0.0029999999999999,0.386,0.369,0.017,0.292,0.287,0.005,3.65,3.43,0.217,Braxton Ashcraft,2026-09-17
"Skenes, Paul",694973,2026,665,422,0.229,0.217,0.012,0.374,0.344,0.03,0.295,0.28,0.0149999999999999,3.78,3.25,0.528,Paul Skenes,2026-09-17
"McGreevy, Michael",700241,2026,658,500,0.254,0.279,-0.025,0.421,0.473,-0.0519999999999999,0.315,0.349,-0.0339999999999999,3.83,5.27,-1.445,Michael McGreevy,2026-09-17
"Roupp, Landen",694738,2026,657,434,0.22,0.232,-0.012,0.334,0.344,-0.0099999999999999,0.294,0.302,-0.008,4.01,3.82,0.186,Landen Roupp,2026-09-17
"Woo, Bryan",693433,2026,657,452,0.221,0.235,-0.0139999999999999,0.36,0.381,-0.021,0.276,0.291,-0.0149999999999999,3.88,3.53,0.351,Bryan Woo,2026-09-17
"Rogers, Trevor",669432,2026,655,471,0.253,0.241,0.012,0.416,0.389,0.0269999999999999,0.31,0.296,0.014,4.22,3.66,0.564,Trevor Rogers,2026-09-17
"Liberatore, Matthew",669461,2026,652,444,0.285,0.266,0.0189999999999999,0.472,0.451,0.0209999999999999,0.357,0.341,0.0159999999999999,5.36,5.0,0.364,Matthew Liberatore,2026-09-17
"Cantillo, Joey",676282,2026,649,403,0.252,0.23,0.0219999999999999,0.404,0.371,0.033,0.335,0.314,0.021,3.89,4.16,-0.268,Joey Cantillo,2026-09-17
"Warren, Will",701542,2026,641,437,0.26,0.258,0.002,0.44,0.413,0.027,0.331,0.322,0.009,3.89,4.39,-0.498,Will Warren,2026-09-17
"Gray, Sonny",543243,2026,636,449,0.241,0.25,-0.009,0.381,0.384,-0.003,0.298,0.302,-0.004,2.76,3.82,-1.063,Sonny Gray,2026-09-17
"Misiorowski, Jacob",694819,2026,636,342,0.16,0.171,-0.011,0.252,0.252,0.0,0.219,0.224,-0.005,1.89,2.08,-0.186,Jacob Misiorowski,2026-09-17
"Chandler, Bubba",696149,2026,636,422,0.226,0.233,-0.007,0.364,0.381,-0.017,0.308,0.316,-0.008,4.28,4.21,0.066,Bubba Chandler,2026-09-17
"Elder, Bryce",693821,2026,633,459,0.244,0.252,-0.008,0.407,0.401,0.0059999999999999,0.313,0.313,0.0,4.11,4.13,-0.023,Bryce Elder,2026-09-17
